Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating,Full Review,compound_nouns,aspect_keywords,competition,competition_comp_nouns,competition_aspects,sentiment
 on 06/21/14 09:02 AM (PDT),abmwfan ,2014 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A),A BMW from the good old days of BMW design," I bought this X1 because it's a dying breed of BMW from times before BMW went soft, heavy, and lost their steering mojo. It has the chassis and handling dynamics from the previous generation E90/E91 platform that's one of the best handling 3 series. It has hydraulic steering instead of BMW's new vague, imprecise electric steering. Those are combined with the most recent, excellent drive train. Add the comparatively low price and this BMW is unique. It will be replaced in the 2016 model year by a front-wheel drive platform shared with the Mini Cooper. Yuck.",4.75,"A BMW from the good old days of BMW design I bought this X1 because it's a dying breed of BMW from times before BMW went soft, heavy, and lost their steering mojo. It has the chassis and handling dynamics from the previous generation E90/E91 platform that's one of the best handling 3 series. It has hydraulic steering instead of BMW's new vague, imprecise electric steering. Those are combined with the most recent, excellent drive train. Add the comparatively low price and this BMW is unique. It will be replaced in the 2016 model year by a front-wheel drive platform shared with the Mini Cooper. Yuck.",[],"['low price', 'comparatively low price']","[['nt', 'good', 'bought'], ['one'], ['new'], ['drive', 'nt'], ['drive', 'nt', 'year']]","[('BMW design', 'design'), ('E91 platform', 'platform'), ('drive train', 'train'), ('model year', 'year'), ('wheel drive', 'drive'), ('drive platform', 'platform')]","['most recent wheel drive train', 'old days', 'new vague', 'recent wheel drive train', 'excellent wheel drive', 'hydraulic steering', 'good days', 'front wheel', 'previous E91 drive platform', 'electric steering']",neg
 on 08/12/16 09:59 AM (PDT),Peter Ghosh ,2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A),Significant improvement from the prev. generation!," I had a 2014 X1 (prev generation) that was my favorite car ever, but was coming off lease. I expected this new generation of X1 to be fair since it was being molded to look like the rest of the X-line family (truth be told, I wanted the Tesla Model 3 but couldn't wait that long). I was wrong. Dead wrong. This is actually more fun than the last one. Slightly less horsepower, yet the 0-60 is quicker. The move to a front-wheel-emphasized 4WD is not noticeable. I sometimes miss the hydraulic steering (however, the 2016's adaptive steering makes parking and city driving much easier). I got every tech package except the ACC (c'mon, an extra thousand, really?) and it seems worth it. By adding a few extra PSI to the tires (compared to the door sticker), I am getting 35+ MPG on the highway! Eco-mode is much more useful now without sacrifice (I especially didn't like the jolt on the 2014 when I needed to pass someone on the highway due to the shift timing change in this mode). The interior materials are a step up (interior lighting at night is especially top notch). The rear view is crowded compared to previous gen (due to smaller rear window and seat back obstructions), but not dangerous. The front seats are narrower than the last model and could use a little more cushioning as well - make sure you like them first vs. ordering the sports seats/package. I am 5'8 at 175 pounds so the base seats work for me. Overall, It's more luxurious, quieter and more fun than the previous generation (which was already great). I will have a hard time giving this up in 3 years.",5.0,"Significant improvement from the prev. generation! I had a 2014 X1 (prev generation) that was my favorite car ever, but was coming off lease. I expected this new generation of X1 to be fair since it was being molded to look like the rest of the X-line family (truth be told, I wanted the Tesla Model 3 but couldn't wait that long). I was wrong. Dead wrong. This is actually more fun than the last one. Slightly less horsepower, yet the 0-60 is quicker. The move to a front-wheel-emphasized 4WD is not noticeable. I sometimes miss the hydraulic steering (however, the 2016's adaptive steering makes parking and city driving much easier). I got every tech package except the ACC (c'mon, an extra thousand, really?) and it seems worth it. By adding a few extra PSI to the tires (compared to the door sticker), I am getting 35+ MPG on the highway! Eco-mode is much more useful now without sacrifice (I especially didn't like the jolt on the 2014 when I needed to pass someone on the highway due to the shift timing change in this mode). The interior materials are a step up (interior lighting at night is especially top notch). The rear view is crowded compared to previous gen (due to smaller rear window and seat back obstructions), but not dangerous. The front seats are narrower than the last model and could use a little more cushioning as well - make sure you like them first vs. ordering the sports seats/package. I am 5'8 at 175 pounds so the base seats work for me. Overall, It's more luxurious, quieter and more fun than the previous generation (which was already great). I will have a hard time giving this up in 3 years.","[('tech package', 'package')]","['sometimes miss', 'Slightly less horsepower', 'less horsepower', 'smaller window', 'rear view', 'hydraulic steering', 'however makes', 'adaptive steering', 'rear window']","[['nt'], ['car'], ['nt', 'like', 'new'], ['one'], ['nt'], ['like', 'one'], ['nt'], ['nt', 'like'], ['sport'], ['work'], ['great'], ['year']]","[('X family', 'family'), ('line family', 'family'), ('door sticker', 'sticker'), ('Eco mode', 'mode'), ('shift change', 'change'), ('timing change', 'change'), ('sports seats', 'seats'), ('base seats', 'seats')]","['interior materials', 'Significant improvement', 'top notch', 'more cushioning', 'especially top notch', 'wait long', 'more fun', 'front sports base seats', 'prev generation', 'favorite car', 'interior lighting', 'extra PSI', 'previous generation', 'hard time', 'new generation', 'like first', 'especially like', 'front wheel', 'last Eco model', 'well make']",neg
 on 04/28/16 10:36 AM (PDT),KennethZ ,2016 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A),It's a little/BIG SUV/SAV," I was cross shopping the Audi Q5, Mercedes GLC, BMW X3, and Volkswagen GTI. And then I saw this new X1. I was thinking to wait for the next gen Q5, but I decided to buy this car. Itâs a handsome car inside out. The interior is very spacious. The headroom and legroom are comparable or even bigger than the current Q5, GLC, X3, and GTI. Itâs even comparable to the larger X5. (X5 vs X1: F head 40, 41.9; R head 39.3, 39.4; F leg 40, 40.4; R leg 36.6, 37) I am 5â10, 165 lbs, I fit in the back seat comfortably even when the front seat is all the way back. And my car is not even with the sliding rear seat option. The trunk is also big, fits $200+ groceries from Costco easily. The engine is potent. The transmission is smooth. The handle is nimble. The acceleration is quick. Itâs fuel efficient. Overall itâs a very practical car. I understand itâs being categorized as a subcompact SUV/SAV, but you really have to test drive and get inside of the car to understand what Iâm talking about. Itâs BIG!!! OK, now the bad. The front seat is too narrow. The gas pedal is too close to the side wall of the center console. The center console storage is relatively small. There is still noticeable turbo lag when stop and go. The suspension is too hard, you can feel every tinny hole and bump on the road. The LED headlight and taillight only come with the premium package, and the price is pretty premium for that.",5.0,"It's a little/BIG SUV/SAV I was cross shopping the Audi Q5, Mercedes GLC, BMW X3, and Volkswagen GTI. And then I saw this new X1. I was thinking to wait for the next gen Q5, but I decided to buy this car. Itâs a handsome car inside out. The interior is very spacious. The headroom and legroom are comparable or even bigger than the current Q5, GLC, X3, and GTI. Itâs even comparable to the larger X5. (X5 vs X1: F head 40, 41.9; R head 39.3, 39.4; F leg 40, 40.4; R leg 36.6, 37) I am 5â10, 165 lbs, I fit in the back seat comfortably even when the front seat is all the way back. And my car is not even with the sliding rear seat option. The trunk is also big, fits $200+ groceries from Costco easily. The engine is potent. The transmission is smooth. The handle is nimble. The acceleration is quick. Itâs fuel efficient. Overall itâs a very practical car. I understand itâs being categorized as a subcompact SUV/SAV, but you really have to test drive and get inside of the car to understand what Iâm talking about. Itâs BIG!!! OK, now the bad. The front seat is too narrow. The gas pedal is too close to the side wall of the center console. The center console storage is relatively small. There is still noticeable turbo lag when stop and go. The suspension is too hard, you can feel every tinny hole and bump on the road. The LED headlight and taillight only come with the premium package, and the price is pretty premium for that.","[('F head', 'head'), ('F leg', 'leg'), ('R leg', 'leg'), ('turbo lag', 'lag'), ('lag stop', 'stop')]","['noticeable lag stop', 'larger X5', 'fits easily']","[['new'], ['car', 'think'], ['car'], ['nt'], ['nt'], ['nt'], ['car'], ['nt'], ['nt'], ['car'], ['drive', 'car', 'test'], ['nt'], ['nt'], ['nt'], ['road'], ['come']]","[('seat option', 'option'), ('gas pedal', 'pedal'), ('side wall', 'wall'), ('center console', 'console'), ('console storage', 'storage'), ('LED headlight', 'headlight'), ('premium package', 'package')]","['handsome car', 'practical car', 'really have', 'only come', 'rear seat option', 'new X1', 'pretty premium', 'then saw', 'back seat', 'fit comfortably', 'very practical car', 'tinny hole', 'front seat']",neg
 on 03/14/15 21:01 PM (PDT),ozarksf6 ,2015 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A),Still satisfied but not amazed," After 30,000  miles in good and bad weather, I would say I'm satisfied but not amazed with the X1. This SAV is responsive and handles well. I was impressed with the stability in snow and ice. My disappointment is mostly with the base bluetooth interface. Old technology and not what should be standard on a premium vehicle.Like the transmission, hate the shifter. Is it a great value? Is it the best vehicle of its type? Perhaps not. It is my 5th BMW and 2nd currently owned. (Z4) something keeps bringing me back. If not the ultimate driving machine, it's a drivers vehicle and you don't get that from a subaru. Enough said. Update: 24,000 miles, MPG is avg24. On highway not any better. Gear selector is terrible and for this price point the Bluetooth should be much better. Overall, it's okay just not great. Least inspired of the 5 BMWs I've owned.",4.0,"Still satisfied but not amazed After 30,000  miles in good and bad weather, I would say I'm satisfied but not amazed with the X1. This SAV is responsive and handles well. I was impressed with the stability in snow and ice. My disappointment is mostly with the base bluetooth interface. Old technology and not what should be standard on a premium vehicle.Like the transmission, hate the shifter. Is it a great value? Is it the best vehicle of its type? Perhaps not. It is my 5th BMW and 2nd currently owned. (Z4) something keeps bringing me back. If not the ultimate driving machine, it's a drivers vehicle and you don't get that from a subaru. Enough said. Update: 24,000 miles, MPG is avg24. On highway not any better. Gear selector is terrible and for this price point the Bluetooth should be much better. Overall, it's okay just not great. Least inspired of the 5 BMWs I've owned.",[],"['bringing back', 'handles well', 'Least inspired']","[['good', 'miles'], ['nt'], ['vehicle'], ['vehicle', 'great'], ['nt'], ['drive', 'vehicle'], ['miles'], ['nt'], ['great']]","[('bluetooth interface', 'interface'), ('premium vehicle', 'vehicle'), ('driving machine', 'machine'), ('drivers vehicle', 'vehicle'), ('Gear selector', 'selector'), ('price point', 'point')]","['great value', 'Old technology', 'currently owned', 'best premium drivers vehicle', 'ultimate driving machine', 'good weather']",neg
 on 01/07/17 19:45 PM (PST),Harry ,2017 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A),First BMW," We shopped around for quite some time looking for a small/midsize crossover. We test drove literally dozens of vehicles: Mazda, Audi, Benz, Honda, Ford, to name a few. We were between the Volvo XC 60 and the Hyundai Santa Fe Sport. We loved the Volvo but the price at $52K out the door was a little more than we were willing to pay. We were about to settle on the Hyundai (even though it didn't drive especially well) when the night before I read an article about the X1 and figured we'll go check it out before settling on the Hyundai. To our delight, we loved the way the X1 looked, drove, and its interior is bigger than it seems from the outside. The trunk was the biggest surprise to us with the underneath compartment. We loved the car. We compromised on the base X-Drive model MSRP of $36K but got them down to $33K. We took it home that night and have been enjoying it ever since. Nearly 1 month later, we have gotten a good feel for the X1. Our biggest complaints have to do with some basic features lacking in the base model which we knew going in. The fully loaded Hyundai had all the features I'm talking about i.e. LED Headlights, XM Radio, Blind Spot monitoring, Sunroof, backup camera, adaptive cruise, forward collision warning, integrated sunshades, heated seats, navigation to name some big ones. The X1 does have some of these features if you elect certain packages but the price will quickly climb into the 40's and beyond. Ultimately, we chose the BMW because it drove 100 times better than the Hyundai and at the end of the day, no matter how much you dress up a Hyundai it is still a Hyundai and drives as such. We've been averaging 25MPG combined which is better than all the other vehicles we tried especially with an all-wheel drive. Besides our lack of options our only other complaint really is the suspension. As expert reviewers have stated, the X1's suspension is very stiff and you feel it when you go over speed bumps or bumps in the road. But I still prefer the stiffness over the squishyness of the Hyundai's body roll suspension. Another weird thing our X1 lacks is the ability to control the rear dome light from the rear. It's an odd design flaw but we'll get over it. Ultimately, we are very pleased with our decision.",4.0,"First BMW We shopped around for quite some time looking for a small/midsize crossover. We test drove literally dozens of vehicles: Mazda, Audi, Benz, Honda, Ford, to name a few. We were between the Volvo XC 60 and the Hyundai Santa Fe Sport. We loved the Volvo but the price at $52K out the door was a little more than we were willing to pay. We were about to settle on the Hyundai (even though it didn't drive especially well) when the night before I read an article about the X1 and figured we'll go check it out before settling on the Hyundai. To our delight, we loved the way the X1 looked, drove, and its interior is bigger than it seems from the outside. The trunk was the biggest surprise to us with the underneath compartment. We loved the car. We compromised on the base X-Drive model MSRP of $36K but got them down to $33K. We took it home that night and have been enjoying it ever since. Nearly 1 month later, we have gotten a good feel for the X1. Our biggest complaints have to do with some basic features lacking in the base model which we knew going in. The fully loaded Hyundai had all the features I'm talking about i.e. LED Headlights, XM Radio, Blind Spot monitoring, Sunroof, backup camera, adaptive cruise, forward collision warning, integrated sunshades, heated seats, navigation to name some big ones. The X1 does have some of these features if you elect certain packages but the price will quickly climb into the 40's and beyond. Ultimately, we chose the BMW because it drove 100 times better than the Hyundai and at the end of the day, no matter how much you dress up a Hyundai it is still a Hyundai and drives as such. We've been averaging 25MPG combined which is better than all the other vehicles we tried especially with an all-wheel drive. Besides our lack of options our only other complaint really is the suspension. As expert reviewers have stated, the X1's suspension is very stiff and you feel it when you go over speed bumps or bumps in the road. But I still prefer the stiffness over the squishyness of the Hyundai's body roll suspension. Another weird thing our X1 lacks is the ability to control the rear dome light from the rear. It's an odd design flaw but we'll get over it. Ultimately, we are very pleased with our decision.","[('X Drive', 'Drive'), ('Drive model', 'model'), ('body roll', 'roll'), ('roll suspension', 'suspension'), ('design flaw', 'flaw')]","['fully loaded', 'midsize crossover', 'still prefer', 'odd design flaw']","[['vehicle', 'test'], ['nt'], ['love'], ['drive'], ['nt', 'love'], ['nt'], ['car', 'love'], ['home'], ['nt', 'good'], ['nt', 'new'], ['nt', 'one'], ['nt'], ['drive'], ['drive', 'vehicle'], ['nt'], ['road'], ['nt']]","[('base model', 'model'), ('Spot monitoring', 'monitoring'), ('collision warning', 'warning'), ('wheel drive', 'drive'), ('expert reviewers', 'reviewers'), ('speed bumps', 'bumps'), ('X1 lacks', 'lacks'), ('dome light', 'light')]","['later gotten', 'basic features', 'wheel drive well', 'underneath compartment', 'big ones', 'took home', 'forward collision warning', 'other complaint', 'quickly climb', 'heated seats', 'only complaint', 'willing to pay', 'tried especially', 'certain packages', 'biggest complaints', 'weird thing', 'Ultimately chose', 'biggest surprise', 'good feel', 'backup camera', 'even wheel drive', 'rear dome', 'other vehicles']",neg
 on 12/09/15 20:14 PM (PST),M Houston ,2013 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A),A great all-around package.," Driven my 2013 xDrive28 for 25000miles - and have no regrets. Really a surprisingly good wagon - the 8spd transmission and strong/efficient 4cyl. is impressive. Wish I had paddle shifters on mine, as I use the manual shifting option quite often and would prefer to use paddle shifters. Ergonomics are superb, electronics are for the most part all useful, iDrive system fairly intuitive, NAV system effective, though a bit frustrating to enter addresses/destinations using voice commands. Couldn't find a better package for the price two years ago when I bought it, and still can't find anything that on the whole offers fewer compromises. Yes it is small, but I'm 5'10"", and personally find the back seats quite comfortable, with plenty of headroom and legroom. If you are worried about the space back there (as I was), I would say don't rule it out, sit in it and see for yourself. My third BMW, and this one is by far the most reliable. Great car - highly recommended.October 2017 Final Update: Lost my X1 to Harvey Flooding...Insurance totaled it, but she ran fine (and I needed her to) until the tow truck came to haul her away a month after the water receded. It was a sad day. I'll buy another one, if I can find one!!",5.0,"A great all-around package. Driven my 2013 xDrive28 for 25000miles - and have no regrets. Really a surprisingly good wagon - the 8spd transmission and strong/efficient 4cyl. is impressive. Wish I had paddle shifters on mine, as I use the manual shifting option quite often and would prefer to use paddle shifters. Ergonomics are superb, electronics are for the most part all useful, iDrive system fairly intuitive, NAV system effective, though a bit frustrating to enter addresses/destinations using voice commands. Couldn't find a better package for the price two years ago when I bought it, and still can't find anything that on the whole offers fewer compromises. Yes it is small, but I'm 5'10"", and personally find the back seats quite comfortable, with plenty of headroom and legroom. If you are worried about the space back there (as I was), I would say don't rule it out, sit in it and see for yourself. My third BMW, and this one is by far the most reliable. Great car - highly recommended.October 2017 Final Update: Lost my X1 to Harvey Flooding...Insurance totaled it, but she ran fine (and I needed her to) until the tow truck came to haul her away a month after the water receded. It was a sad day. I'll buy another one, if I can find one!!","[('paddle shifters', 'shifters'), ('shifting option', 'option'), ('paddle shifters', 'shifters')]","['use often', 'sad day', 'manual shifting option']","[['great'], ['miles'], ['nt', 'good'], ['nt'], ['bought', 'year'], ['nt'], ['one'], ['car'], ['nt', 'truck'], ['one']]","[('Ergonomics superb', 'superb'), ('iDrive system', 'system'), ('NAV system', 'system'), ('voice commands', 'commands'), ('tow truck', 'truck')]","['useful iDrive NAV system', 'intuitive iDrive NAV system', 'Great car', 'back seats', 'frustrating to enter', 'fairly intuitive iDrive NAV system', 'surprisingly good wagon', 'highly recommended', 'personally find', 'haul away', 'better package', 'find ago', 'fewer compromises', 'still find', 'good wagon', 'most part']",neg
 on 02/24/13 14:07 PM (PST),judith6 ,2013 BMW X1 SUV xDrive28i 4dr SUV AWD (2.0L 4cyl Turbo 8A),Beware of the tires!," The car has 3000 miles on it, is great to drive, good on ice and snow. Unfortunately, we have to drive it on a short gravel road....a road which is graded regularly and well maintained. A small piece of gravel embedded in the tire and caused a slow leak. When the stone was removed....totally flat tire which I was told did not allow the car to be driven (my home is 40 miles from the nearest dealer). No replacement tire available for 3 days. No loaner cars available. Almost $600 for a new tire....$130 for car rental.Perhaps this is an isolated event and there will be no additional tire problems. If not, there will be one very unhappy customer!",3.75,"Beware of the tires! The car has 3000 miles on it, is great to drive, good on ice and snow. Unfortunately, we have to drive it on a short gravel road....a road which is graded regularly and well maintained. A small piece of gravel embedded in the tire and caused a slow leak. When the stone was removed....totally flat tire which I was told did not allow the car to be driven (my home is 40 miles from the nearest dealer). No replacement tire available for 3 days. No loaner cars available. Almost $600 for a new tire....$130 for car rental.Perhaps this is an isolated event and there will be no additional tire problems. If not, there will be one very unhappy customer!",[],"['slow leak', 'small piece']","[['drive', 'good', 'miles', 'car', 'now', 'great'], ['drive', 'road'], ['nt', 'road'], ['one'], ['drive', 'miles', 'car', 'home'], ['nt'], ['car'], ['new'], ['nt', 'car'], ['nt'], ['one']]","[('gravel road', 'road'), ('replacement tire', 'tire'), ('loaner cars', 'cars'), ('car rental', 'rental'), ('tire problems', 'problems')]","['additional tire problems', 'very unhappy customer', 'graded regularly', 'isolated event', 'well maintained', 'nearest dealer', 'unhappy customer', 'great to drive', 'new replacement tire', 'totally flat replacement tire', 'Unfortunately have', 'flat replacement tire', 'short gravel']",neg
 on 03/16/14 18:28 PM (PDT),windyman ,2014 BMW 3 Series Gran Turismo Hatchback 328i xDrive 4dr Hatchback AWD (2.0L 4cyl Turbo 8A),BMW with room and fun," I wanted to replace a Saab 9-5 wagon. The 3 series wagon did not really have the room for me. The X1 and X3 didn't appeal to me. So I was going to get a sedan, and keep the wagon as a station car and junk hauler. My wife and I went to the dealer to buy the sedan and found the 238i GT. We never looked back. No, it is not quite as sharp as the sedan, but I have a convertible for that. It has tons of room, accelerates and handles well, especially in sport of sport plus modes. Bring it down to comfort or eco-pro when just humming along the highway. You can still drop a couple of gears quickly with the paddle shifters. No second thoughts",5.0,"BMW with room and fun I wanted to replace a Saab 9-5 wagon. The 3 series wagon did not really have the room for me. The X1 and X3 didn't appeal to me. So I was going to get a sedan, and keep the wagon as a station car and junk hauler. My wife and I went to the dealer to buy the sedan and found the 238i GT. We never looked back. No, it is not quite as sharp as the sedan, but I have a convertible for that. It has tons of room, accelerates and handles well, especially in sport of sport plus modes. Bring it down to comfort or eco-pro when just humming along the highway. You can still drop a couple of gears quickly with the paddle shifters. No second thoughts","[('series wagon', 'wagon'), ('paddle shifters', 'shifters')]","['really have', 'drop quickly', 'still drop', 'never looked', 'looked back']","[['nt'], ['car', 'sedan'], ['nt', 'sedan', 'wife'], ['sedan', 'convertible', 'conv'], ['sport'], ['second']]","[('station car', 'car'), ('junk hauler', 'hauler')]","['So going', 'second thoughts', 'handles well']",neg
 on 09/09/16 08:00 AM (PDT),John McDonough ,2016 BMW 3 Series Gran Turismo Hatchback 335i xDrive 4dr Hatchback AWD (3.0L 6cyl Turbo 8A),"$60K+ Fun to drive, but has some interior rattles"," At times I think this is the Ultimate Rattler.  Less than two weeks into ownership and there are LOUD rattles emanating from the plastic entertainment console. Simply pressing on the frame halts the annoyance for a brief time or until the next bump.  Other rattles are starting and can't determine their source.  My 10 year old Infinitis have zero rattles.  This car is difficult to get in and out from and the command center is not very intuitive. I'm 6'2"" and sports seats have good support but the seat section could be wider. More than enough leg room, which is great. The car has terrific storage capacity, comparable or better than many SUV's. Never have to worry about the car bottoming out on rough road or a steep driveway, as it rides fairly high. AWD gives immediate handling confidence. Update 03/18/17: Still enjoying the car, less the ""premium"" rattles. Dealer did not resolve the problem...they applied a smelly oily substance between the plastic parts and no improvement. Interior rattles when temps are between 60-80 degrees. I recently noticed, in very bright light, that the #5 radio button has a horizontal hairline crack. I suspect that my radio was roughly handled before it was installed.Update 10/17/17: Had car serviced and they replaced cracked radio buttons and reinstalled radio. Alas, the problem was finally resolved and there are no annoying rattles. Of course, this did not affect performance, but I can add that I am enjoying my car much better since the rattling stopped.Update 04/18/18: Love my car more than ever. No problems at all with it.",4.0,"$60K+ Fun to drive, but has some interior rattles At times I think this is the Ultimate Rattler.  Less than two weeks into ownership and there are LOUD rattles emanating from the plastic entertainment console. Simply pressing on the frame halts the annoyance for a brief time or until the next bump.  Other rattles are starting and can't determine their source.  My 10 year old Infinitis have zero rattles.  This car is difficult to get in and out from and the command center is not very intuitive. I'm 6'2"" and sports seats have good support but the seat section could be wider. More than enough leg room, which is great. The car has terrific storage capacity, comparable or better than many SUV's. Never have to worry about the car bottoming out on rough road or a steep driveway, as it rides fairly high. AWD gives immediate handling confidence. Update 03/18/17: Still enjoying the car, less the ""premium"" rattles. Dealer did not resolve the problem...they applied a smelly oily substance between the plastic parts and no improvement. Interior rattles when temps are between 60-80 degrees. I recently noticed, in very bright light, that the #5 radio button has a horizontal hairline crack. I suspect that my radio was roughly handled before it was installed.Update 10/17/17: Had car serviced and they replaced cracked radio buttons and reinstalled radio. Alas, the problem was finally resolved and there are no annoying rattles. Of course, this did not affect performance, but I can add that I am enjoying my car much better since the rattling stopped.Update 04/18/18: Love my car more than ever. No problems at all with it.",[],"['finally resolved', 'Other rattles', 'roughly handled', 'annoying rattles']","[['drive', 'nt', 'think'], ['nt'], ['nt'], ['year'], ['nt', 'car'], ['good', 'sport'], ['great'], ['car'], ['drive', 'car', 'road'], ['give'], ['car'], ['nt'], ['nt'], ['nt'], ['car'], ['car'], ['car']]","[('60K+ Fun', 'Fun'), ('Ultimate Rattler', 'Rattler'), ('plastic console', 'console'), ('entertainment console', 'console'), ('command center', 'center'), ('sports seats', 'seats'), ('seat section', 'section'), ('leg room', 'room'), ('storage capacity', 'capacity'), ('handling confidence', 'confidence'), ('Update 03/18/17', '03/18/17'), ('radio button', 'button'), ('hairline crack', 'crack'), ('radio buttons', 'buttons')]","['Still enjoying', 'steep driveway', 'good support', 'enough leg room', 'Simply pressing', 'brief time', 'immediate handling confidence', 'Never have', 'oily substance', 'plastic parts', 'terrific storage capacity', 'enjoying better', 'very bright light', 'horizontal hairline crack', 'course affect', 'Love more', 'interior rattles', 'bright light', 'next bump', 'smelly oily substance', 'rough road', 'recently noticed']",neg
 on 02/04/16 08:36 AM (PST),Roger Levy ,2016 BMW 3 Series Gran Turismo Hatchback 328i xDrive SULEV 4dr Hatchback AWD (2.0L 4cyl Turbo 8A),Value missing - value still comes up short," I've owned 3, 5, and 7 series BMW's which now includes the 328i xDrive GT.  All exhibit good workmanship, tight construction and nice drive characteristics.  Unfortunately I have two issues with this new BMW:  (1) too many of the safety features now standard on other autos are extra cost options on the BMW, and (2) electronics are now being used to replace many features that are better provided through more conventional means.Regarding safety features - for example blind spot warning and lane monitoring are often standard features on many Hondas, Toyotas, and other autos, however they are extra cost options on this BMW.   Although not safety related, heated front seats which are also now standard on other autos are extra cost items.Regarding the electronics - While the central electronics has been improved, the radio controls and many of the other electronics are still way too confusing and some seem unnecessary.",4.0,"Value missing - value still comes up short I've owned 3, 5, and 7 series BMW's which now includes the 328i xDrive GT.  All exhibit good workmanship, tight construction and nice drive characteristics.  Unfortunately I have two issues with this new BMW:  (1) too many of the safety features now standard on other autos are extra cost options on the BMW, and (2) electronics are now being used to replace many features that are better provided through more conventional means.Regarding safety features - for example blind spot warning and lane monitoring are often standard features on many Hondas, Toyotas, and other autos, however they are extra cost options on this BMW.   Although not safety related, heated front seats which are also now standard on other autos are extra cost items.Regarding the electronics - While the central electronics has been improved, the radio controls and many of the other electronics are still way too confusing and some seem unnecessary.","[('safety features', 'features'), ('spot warning', 'warning'), ('lane monitoring', 'monitoring'), ('cost options', 'options')]","['other autos', 'blind spot warning', 'extra cost options']","[['come'], ['drive', 'good', 'work'], ['nt', 'new', 'conv'], ['nt'], ['nt']]","[('drive characteristics', 'characteristics'), ('cost options', 'options'), ('al standard', 'standard'), ('cost items', 'items'), ('radio controls', 'controls')]","['central electronics', 'better provided', 'front seats', 'extra cost options', 'conventional means', 'good workmanship', 'extra cost items', 'nice drive', 'other autos', 'many features', 'more conventional means', 'other electronics', 'Unfortunately have', 'tight construction', 'still comes']",neg
