Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating,Full Review,compound_nouns,aspect_keywords,competition,competition_comp_nouns,competition_aspects,sentiment
 on 05/13/17 05:46 AM (PDT),Ron ,2017 INFINITI QX70 SUV 4dr SUV AWD (3.7L 6cyl 7A),Love the look. Hate the car, Ride is stiff. rattles my dentures. No room in the rear. I'm a big guy so this has made my car a three seater. Not enough space between brake and accelerator. my foot often is partially on both which is a hazard waiting to happen. The gas mileage  sucks. I'm only getting 10 mpg. Well below the advertised amount. This was my dream car since the FX35 first came out. My dream has turned into a nightmare.,4.0,Love the look. Hate the car Ride is stiff. rattles my dentures. No room in the rear. I'm a big guy so this has made my car a three seater. Not enough space between brake and accelerator. my foot often is partially on both which is a hazard waiting to happen. The gas mileage  sucks. I'm only getting 10 mpg. Well below the advertised amount. This was my dream car since the FX35 first came out. My dream has turned into a nightmare.,"[('gas mileage', 'mileage')]","['enough space', 'only getting']","[['car'], ['nt'], ['car'], ['nt'], ['car'], ['nt']]","[('dream car', 'car')]","['advertised amount', 'big guy', 'first came']",pos
 on 10/10/17 10:05 AM (PDT),HD ,2014 INFINITI QX70 SUV 4dr SUV AWD (5.0L 8cyl 7A),Fastest naturally aspirated SUV (still!)," 0-60 in 4.8 seconds.  *This* is the first stat potential FX50 or V8 QX70 owners should consider.  Handles like it's velcroed to the road, especially in the rain.  Firmly pegged on the ""Sport"" end of the SUV spectrum, these unique finds benefit significantly from a more involved driver's hand.  While clearly geared toward fuel economy--I've observed a surprising 19.5 MPG over three months'-worth of mixed driving, the seven-speed's ""Drive Sport"" mode is a must-engage when turning onto the twisties.  But only full manumatic, keeping RPMs above 3k, unleashes the bionic cheetah within.  This is my third Nissan-sourced V8 and a more Ferrari-esque take in terms of factory tuning for horsepower over torque.  That said: you will feel the extra hundred foot-pounds of twist, compared to the 3.5 or 3.7 sixes, with any significant change in elevation. And despite a somewhat CX-yawn exterior, the 2014's enlarged grill (masking dual engine air intakes), 21"" custom Enkei rims, and 5.0 side badges subtly communicate that this beast shares 370Z & GT-R DNA and would best be left to prowl far afield from the minivan-ified crossover herd.",5.0,"Fastest naturally aspirated SUV (still!) 0-60 in 4.8 seconds.  *This* is the first stat potential FX50 or V8 QX70 owners should consider.  Handles like it's velcroed to the road, especially in the rain.  Firmly pegged on the ""Sport"" end of the SUV spectrum, these unique finds benefit significantly from a more involved driver's hand.  While clearly geared toward fuel economy--I've observed a surprising 19.5 MPG over three months'-worth of mixed driving, the seven-speed's ""Drive Sport"" mode is a must-engage when turning onto the twisties.  But only full manumatic, keeping RPMs above 3k, unleashes the bionic cheetah within.  This is my third Nissan-sourced V8 and a more Ferrari-esque take in terms of factory tuning for horsepower over torque.  That said: you will feel the extra hundred foot-pounds of twist, compared to the 3.5 or 3.7 sixes, with any significant change in elevation. And despite a somewhat CX-yawn exterior, the 2014's enlarged grill (masking dual engine air intakes), 21"" custom Enkei rims, and 5.0 side badges subtly communicate that this beast shares 370Z & GT-R DNA and would best be left to prowl far afield from the minivan-ified crossover herd.","[('fuel economy', 'economy'), ('foot pounds', 'pounds'), ('side badges', 'badges'), ('beast shares', 'shares'), ('crossover herd', 'herd')]","['best left', 'clearly geared', 'subtly communicate', 'bionic cheetah', 'extra foot pounds', 'left afield']","[['test'], ['second'], ['nt'], ['like', 'road'], ['drive', 'nt'], ['nt'], ['take'], ['nt'], ['nt', 'take', 'ski']]","[('V8 owners', 'owners'), ('QX70 owners', 'owners'), ('factory tuning', 'tuning'), ('CX yawn', 'yawn'), ('yawn exterior', 'exterior'), ('engine air', 'air'), ('air intakes', 'intakes'), ('Enkei rims', 'rims')]","['stat potential', 'more involved hand', 'esque take', 'significant change', 'enlarged grill', 'dual engine air', 'Firmly pegged', 'naturally aspirated', 'mixed driving', 'first potential', 'involved hand']",pos
 on 11/28/15 19:50 PM (PST),Dana Denton ,2014 INFINITI QX70 SUV 4dr SUV AWD (3.7L 6cyl 7A),3rd Time Buyer," This is my third Infinity. Two x35's and now the X70. Obviously,  I love this car.  It's distinctive styling and performance make it my all time favorite.",5.0,"3rd Time Buyer This is my third Infinity. Two x35's and now the X70. Obviously,  I love this car.  It's distinctive styling and performance make it my all time favorite.",[],"['distinctive styling', 'third Infinity']","[['car', 'love']]",[],['Obviously love'],pos
 on 08/31/18 06:45 AM (PDT),Aaron ,2016 INFINITI QX70 SUV 4dr SUV AWD (3.7L 6cyl 7A),Overall good quality," My QX70 came with AWD and Premium Package. I find the front seating and ride very comfortable. It's actually fun to drive.  I rate handling and the feel of the road as excellent. The instrumentation and controls are also excellent and easy to live with. The heated leather seats are nice for cold weather. Exterior fold-in side mirrors add a nice touch and are easily adjusted using the inside controls. Cons: No LED daytime running lights unless you get the Sports Package with the upgraded front bumper. That's just sad! The lack of hidden enterior storage under the rear deck. There is just enough room for the temporary spare, lug wrench and jack but no room for a small tool bag, pliers or a screw driver. Lastly, accepts only Premium gas.",5.0,"Overall good quality My QX70 came with AWD and Premium Package. I find the front seating and ride very comfortable. It's actually fun to drive.  I rate handling and the feel of the road as excellent. The instrumentation and controls are also excellent and easy to live with. The heated leather seats are nice for cold weather. Exterior fold-in side mirrors add a nice touch and are easily adjusted using the inside controls. Cons: No LED daytime running lights unless you get the Sports Package with the upgraded front bumper. That's just sad! The lack of hidden enterior storage under the rear deck. There is just enough room for the temporary spare, lug wrench and jack but no room for a small tool bag, pliers or a screw driver. Lastly, accepts only Premium gas.","[('leather seats', 'seats')]","['heated leather seats', 'Premium gas', 'only gas', 'Lastly accepts', 'cold weather']","[['good'], ['nt'], ['drive'], ['nt', 'road'], ['nt'], ['nt'], ['nt'], ['nt'], ['drive']]","[('side mirrors', 'mirrors'), ('lug wrench', 'wrench'), ('tool bag', 'bag'), ('screw driver', 'driver')]","['good quality', 'easily adjusted', 'enterior storage', 'enough room', 'temporary spare', 'hidden storage', 'nice touch', 'front seating', 'rear deck', 'front bumper', 'small tool', 'inside controls']",pos
 on 05/25/18 08:48 AM (PDT),DS Russell ,2015 INFINITI QX70 SUV 4dr SUV AWD (3.7L 6cyl 7A),"Big, Sporty SUV"," I looked at a used QX70 in comparison to a QX50.  Was originally looking at 2015 models or earlier. The QX70 was nice, but just too big for me (I'm 5'-4"" & at 63 y.o., I'm not going to get any taller) It was just too tall for me to step into.  Once I found out that the QX50 was lengthened in 2016, thereby giving it an extra 5"" of legroom in the rear seat area, I opted for that one. My family has owned (& still own) several Infiniti's since 2003 & we have been extremely satisfied with the styling, acceleration, road handling, low maintenance & convenience options.",3.0,"Big, Sporty SUV I looked at a used QX70 in comparison to a QX50.  Was originally looking at 2015 models or earlier. The QX70 was nice, but just too big for me (I'm 5'-4"" & at 63 y.o., I'm not going to get any taller) It was just too tall for me to step into.  Once I found out that the QX50 was lengthened in 2016, thereby giving it an extra 5"" of legroom in the rear seat area, I opted for that one. My family has owned (& still own) several Infiniti's since 2003 & we have been extremely satisfied with the styling, acceleration, road handling, low maintenance & convenience options.",[],['originally looking'],"[['nt'], ['one'], ['nt', 'road', 'conv']]","[('seat area', 'area'), ('road handling', 'handling')]","['low maintenance', 'thereby giving', 'rear seat area']",pos
 on 11/19/15 12:27 PM (PST),Frank Maloney ,2004 INFINITI I35 Sedan 4dr Sedan (3.5L 6cyl 4A),"Well maintained Infiniti I-35, sold in Sept 2016"," Rock solid car, strong, reliable engine, roomy passenger compartment, power and heated everything, and has a rear window shade. Replaced the radiator recently due to cracks.  Replaced the struts assemblies. New BF Goodrich Tires only have a few thousand miles wear. Have recently replaced the factory stereo with a new Kenwood (Excelsior model) CD, stereo with all inputs, jacks.   All major maintenance performed at Infiniti dealership. Oil always changed every 3,500 miles.   Paint is still terrific. A few dings. Interior leather has a few small tears.  This is a really good value.  Sold the vehicle through CarLotz Auto Consignment in Richmond, VA (West Broad St location) in early September 2016.",4.0,"Well maintained Infiniti I-35, sold in Sept 2016 Rock solid car, strong, reliable engine, roomy passenger compartment, power and heated everything, and has a rear window shade. Replaced the radiator recently due to cracks.  Replaced the struts assemblies. New BF Goodrich Tires only have a few thousand miles wear. Have recently replaced the factory stereo with a new Kenwood (Excelsior model) CD, stereo with all inputs, jacks.   All major maintenance performed at Infiniti dealership. Oil always changed every 3,500 miles.   Paint is still terrific. A few dings. Interior leather has a few small tears.  This is a really good value.  Sold the vehicle through CarLotz Auto Consignment in Richmond, VA (West Broad St location) in early September 2016.",[],['few dings'],"[['nt', 'car'], ['nt'], ['miles'], ['nt', 'new'], ['nt'], ['miles'], ['nt'], ['nt'], ['good'], ['nt', 'vehicle', 'road']]","[('roomy compartment', 'compartment'), ('passenger compartment', 'compartment'), ('window shade', 'shade'), ('factory stereo', 'stereo'), ('Infiniti dealership', 'dealership'), ('St location', 'location')]","['major maintenance', 'solid car', 'reliable engine', 'Replaced recently', 'few tears', 'rear window', 'only have', 'strong engine', 'good value', 'recently replaced', 'always changed', 'small tears', 'really good value']",pos
 on 04/03/12 18:08 PM (PDT),acarguy4 ,2004 INFINITI I35 Sedan 4dr Sedan (3.5L 6cyl 4A),Fantastic car," Car has been fantastic.Over the past few thousand miles, I average 27.1 mpg.I live in CO and love the heated steering wheel and seats.Can't complain about anything.Actually trying to find a car to replace both my F150 and I35 but cannot find one that matches the combination of these two vehicles.The car just has too many features.I bought it for 10k with 49k mikes last year.There is no way you can find this reliability, these options and this mpg for under 10k...I wish they still made the I series...I hate the squished feeling of the new models.",5.0,"Fantastic car Car has been fantastic.Over the past few thousand miles, I average 27.1 mpg.I live in CO and love the heated steering wheel and seats.Can't complain about anything.Actually trying to find a car to replace both my F150 and I35 but cannot find one that matches the combination of these two vehicles.The car just has too many features.I bought it for 10k with 49k mikes last year.There is no way you can find this reliability, these options and this mpg for under 10k...I wish they still made the I series...I hate the squished feeling of the new models.","[('I series', 'series')]",['still made'],"[['nt', 'car'], ['miles'], ['love'], ['vehicle', 'car', 'one'], ['car'], ['bought', 'year'], ['new']]","[('car Car', 'Car'), ('steering wheel', 'wheel'), ('49k mikes', 'mikes')]","['many features', 'heated steering wheel', 'new models', 'past miles', 'too many features', 'Fantastic car Car', 'Actually trying', 'last year']",pos
 on 10/12/10 00:00 AM (PDT),speed demon ,2004 INFINITI I35 Sedan 4dr Sedan (3.5L 6cyl 4A),Still Ticking!," I bought this car brand new SIX years ago!  It's still running like a champ with 113,000 miles on it.  (I'm an assertive driver, ok AGGRESSIVE)  It's almost ready for second replacement of tires.  I've only  replaced 2 things, shocks/struts. (again, I don't drive like a grandmother and I live on country roads) and an engine gasket. Everything else has been regular maintenance.  Drives great in snow, I've only been stuck twice in my country driveway.  I don't usually keep cars this long.. I get tired of them, but I haven't found anything better for my money.  Will keep for my teenage daughter to drive in a couple years.  Probably the only car I would ever buy used..  if I could find one!",5.0,"Still Ticking! I bought this car brand new SIX years ago!  It's still running like a champ with 113,000 miles on it.  (I'm an assertive driver, ok AGGRESSIVE)  It's almost ready for second replacement of tires.  I've only  replaced 2 things, shocks/struts. (again, I don't drive like a grandmother and I live on country roads) and an engine gasket. Everything else has been regular maintenance.  Drives great in snow, I've only been stuck twice in my country driveway.  I don't usually keep cars this long.. I get tired of them, but I haven't found anything better for my money.  Will keep for my teenage daughter to drive in a couple years.  Probably the only car I would ever buy used..  if I could find one!",[],['only replaced'],"[['like', 'miles', 'bought', 'year', 'car', 'new'], ['drive', 'nt', 'second'], ['drive', 'nt', 'like', 'road'], ['nt'], ['drive', 'nt', 'now', 'great'], ['car'], ['one'], ['drive', 'year'], ['car'], ['one']]","[('car brand', 'brand'), ('country roads', 'roads'), ('engine gasket', 'gasket'), ('country driveway', 'driveway'), ('couple years', 'years')]","['Still Ticking', 'only car', 'regular maintenance', 'assertive driver', 'only stuck', 'teenage daughter', 'bought ago', 'ever buy', 'again drive', 'stuck twice', 'still running', 'usually keep', 'second replacement']",pos
 on 07/06/10 09:29 AM (PDT),leftcoaster ,2004 INFINITI I35 Sedan 4dr Sedan (3.5L 6cyl 4A),A cadillac of an Infiniti," My Dad had this and passed away with 13K miles on it. It was his third I35. I took the car and bought it out after the lease was up. It's 2010 and I have 46,000 miles on it and it drives like the day I got it. This car has been great. It's a big cushy ride with a huge interior and trunk, a monster of a 3.6 liter engine that goes like a bat out of hell. Only con is the mileage but all of the Nissan 3.6 liter engines are beasts and don't get good mileage. Otherwise, the car has been flawless.  All in all, this was Infiniti's version of a Cadillac and I expect to have it for a long time barring any unforeseen breakdowns. I guess I'll get a G37 when the interior breaks down.",4.25,"A cadillac of an Infiniti My Dad had this and passed away with 13K miles on it. It was his third I35. I took the car and bought it out after the lease was up. It's 2010 and I have 46,000 miles on it and it drives like the day I got it. This car has been great. It's a big cushy ride with a huge interior and trunk, a monster of a 3.6 liter engine that goes like a bat out of hell. Only con is the mileage but all of the Nissan 3.6 liter engines are beasts and don't get good mileage. Otherwise, the car has been flawless.  All in all, this was Infiniti's version of a Cadillac and I expect to have it for a long time barring any unforeseen breakdowns. I guess I'll get a G37 when the interior breaks down.",[],"['unforeseen breakdowns', 'long time']","[['miles', 'cadillac'], ['bought', 'car'], ['drive', 'like', 'miles'], ['car', 'great'], ['nt'], ['like'], ['good'], ['car'], ['nt']]","[('K miles', 'miles'), ('liter engine', 'engine'), ('liter engines', 'engines'), ('engines beasts', 'beasts')]","['big ride', 'good mileage', 'huge interior', 'cushy ride']",pos
 on 04/01/10 20:38 PM (PDT),Larry ,2004 INFINITI I35 Sedan 4dr Sedan (3.5L 6cyl 4A),Great Car," This is my 4th Infiniti, and by far the nicest I've owned. The 3.5 engine has plenty of muscle for me, the car looks great, and the ride is extremely comfortable. Great sound system, excellent climate control system, the heated seats and heated steering wheel have spoiled me this past winter. Huge trunk, fold down seats make carrying my 88 key digital piano a breeze. Cruise control is smooth, radio controls on steering wheel are easy to use. These cars are so dependable and maintenance costs are reasonable. I have never taken my Infiniti to a mechanic for repairs and been shocked by the cost of the repair. This car has been a pleasure to own. what's not to like about this car?",4.875,"Great Car This is my 4th Infiniti, and by far the nicest I've owned. The 3.5 engine has plenty of muscle for me, the car looks great, and the ride is extremely comfortable. Great sound system, excellent climate control system, the heated seats and heated steering wheel have spoiled me this past winter. Huge trunk, fold down seats make carrying my 88 key digital piano a breeze. Cruise control is smooth, radio controls on steering wheel are easy to use. These cars are so dependable and maintenance costs are reasonable. I have never taken my Infiniti to a mechanic for repairs and been shocked by the cost of the repair. This car has been a pleasure to own. what's not to like about this car?",[],['Great Car'],"[['nt', 'car', 'great'], ['nt'], ['car'], ['nt'], ['nt', 'car'], ['take'], ['car'], ['like', 'car']]","[('engine plenty', 'plenty'), ('sound system', 'system'), ('climate control', 'control'), ('control system', 'system'), ('steering wheel', 'wheel'), ('Cruise control', 'control'), ('radio controls', 'controls')]","['key piano', 'heated seats', 'excellent sound Cruise control system', 'Great sound Cruise control system', 'heated steering wheel', 'past winter', 'never taken', 'digital piano', 'dependable costs', 'smooth climate Cruise radio controls', 'easy to use', 'Huge trunk']",pos
