Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating,Full Review,compound_nouns,aspect_keywords,competition,competition_comp_nouns,competition_aspects,sentiment
 on 05/21/10 16:43 PM (PDT),Jena ,2006 Suzuki Reno Hatchback 4dr Hatchback (2.0L 4cyl 4A),The worst car ever!," I purchased my vehicle in 2007. I hate it. It only has 3,000. miles on it. My transmission is failing, the air bag light is on, and engine light is on too. I called Suzuki to help me. But I have to pay for everything to see what's wrong and most thing aren't covered. It doesn't start always. I have 2 children and i am unemployed at this time. They told me that only interior thing are covered under warranty until 100,000 miles. The transmission is not shifting right and it jerks when it shifts. Gas not so good. I called corporate and they couldn't help me either. Not worth the money. Too many problems. And its not only me. What should I do.",2.25,"The worst car ever! I purchased my vehicle in 2007. I hate it. It only has 3,000. miles on it. My transmission is failing, the air bag light is on, and engine light is on too. I called Suzuki to help me. But I have to pay for everything to see what's wrong and most thing aren't covered. It doesn't start always. I have 2 children and i am unemployed at this time. They told me that only interior thing are covered under warranty until 100,000 miles. The transmission is not shifting right and it jerks when it shifts. Gas not so good. I called corporate and they couldn't help me either. Not worth the money. Too many problems. And its not only me. What should I do.","[('air bag', 'bag'), ('bag light', 'light'), ('engine light', 'light')]","['start always', 'shifting right', 'Too many problems', 'many problems', 'most thing', 'help either']","[['vehicle', 'car'], ['miles'], ['child'], ['nt', 'miles'], ['good'], ['one']]",[],"['worst car', 'interior thing']",neg
 on 06/20/08 00:20 AM (PDT),Good & Bad ,2006 Suzuki Reno Hatchback 4dr Hatchback (2.0L 4cyl 4A),Some Quirks," To start, let me say I really do love this car.  But, it has had many problems that make it annoying at times. I had the problem with it not starting for the 1st 6mo I had it-the dealership could never fix it but it stopped happening. Then I had an airflow problem (scary)- The tires wore out (low profile)at 24000. And, I've had non-stop issues with the airbag sensor, that they just can't seem to fix. I was just told that it would probably need a new Serp. belt soon. But, the car is fun to drive, sporty, decent on mpg. MPG could be better for a car this size, but It's better than an SUV! If you know how to drive the automatic as a manual (as you can in this car) really gets up and goes. ",4.75,"Some Quirks To start, let me say I really do love this car.  But, it has had many problems that make it annoying at times. I had the problem with it not starting for the 1st 6mo I had it-the dealership could never fix it but it stopped happening. Then I had an airflow problem (scary)- The tires wore out (low profile)at 24000. And, I've had non-stop issues with the airbag sensor, that they just can't seem to fix. I was just told that it would probably need a new Serp. belt soon. But, the car is fun to drive, sporty, decent on mpg. MPG could be better for a car this size, but It's better than an SUV! If you know how to drive the automatic as a manual (as you can in this car) really gets up and goes. ","[('stop issues', 'issues'), ('airbag sensor', 'sensor')]","['belt soon', '1st 6mo', 'many problems', 'never fix']","[['car', 'love'], ['car'], ['new'], ['drive', 'nt', 'car', 'sport'], ['drive', 'car']]","[('airflow problem', 'problem')]","['fun to drive', 'really gets', 'Then had', 'really love', 'probably need']",neg
 on 05/29/08 06:05 AM (PDT),Reno Owner ,2006 Suzuki Reno Hatchback 4dr Hatchback (2.0L 4cyl 4A),Happy so far.," We bought a 06 Reno a few years ago and so far has been a reliable car, overall I like the car. I'm around 6-2ish and I fit comfortably into the vehicle. No knees into the glove box, no hair touching the upholstry on the roor. Has gotten a bit cramped with the addition of a car seat, had to move pass seat forward.  Have not had any major mechanical problems to this point. Have not experienced the bad starting as some others have. Did eat through the factory serp belt though by 36,000. Have flushed the engine cooling system and serviced the auto trans, no problems with the fluid exchanges either. MPG is nothing to totally rave about, but full it once a week, not terrible.   ",4.5,"Happy so far. We bought a 06 Reno a few years ago and so far has been a reliable car, overall I like the car. I'm around 6-2ish and I fit comfortably into the vehicle. No knees into the glove box, no hair touching the upholstry on the roor. Has gotten a bit cramped with the addition of a car seat, had to move pass seat forward.  Have not had any major mechanical problems to this point. Have not experienced the bad starting as some others have. Did eat through the factory serp belt though by 36,000. Have flushed the engine cooling system and serviced the auto trans, no problems with the fluid exchanges either. MPG is nothing to totally rave about, but full it once a week, not terrible.   ","[('factory belt', 'belt'), ('serp belt', 'belt'), ('auto trans', 'trans')]","['fluid exchanges', 'serviced either', 'eat though', 'bad starting', 'totally rave']","[['like', 'bought', 'year', 'car'], ['nt', 'vehicle'], ['nt', 'love'], ['car'], ['nt']]","[('car seat', 'seat')]","['bought ago', 'major problems', 'move forward', 'reliable car', 'mechanical problems', 'fit comfortably', 'few years', 'overall like']",neg
 on 09/25/06 11:08 AM (PDT),Tabitha Harmon ,2006 Suzuki Reno Hatchback Premium 4dr Hatchback (2.0L 4cyl 5M),Horrible Experience," I bought this car to have a dependable vehicle.  It has had so many problems.  I have had it in the shop for the transmission (5x), the washer fluid box (2x), the air bag (1x), the windshield wipers (2x), and the AC (5x).  Every time, the dealership promises the car is fixed, but it certainly is not.  Now they are saying they are not going to pay to have the AC fixed because they claim a mouse has gotten in it.  Yet, they have no proof of this.  I'm really getting fed up with Suzuki.",1.5,"Horrible Experience I bought this car to have a dependable vehicle.  It has had so many problems.  I have had it in the shop for the transmission (5x), the washer fluid box (2x), the air bag (1x), the windshield wipers (2x), and the AC (5x).  Every time, the dealership promises the car is fixed, but it certainly is not.  Now they are saying they are not going to pay to have the AC fixed because they claim a mouse has gotten in it.  Yet, they have no proof of this.  I'm really getting fed up with Suzuki.","[('air bag', 'bag'), ('windshield wipers', 'wipers')]","['Yet have', 'Now saying', 'many problems']","[['vehicle', 'bought', 'car'], ['car']]",[],"['Horrible Experience', 'dependable vehicle']",neg
 on 07/29/14 11:41 AM (PDT),hikaru_n ,2007 Suzuki Reno Hatchback 4dr Hatchback w/ABS (2.0L 4cyl 5M),Lousy car, This car is riddled with electrical and sensor problems. Had to get them to replace the headlights. Very bad acceleration and shifting. Probably the worst car I've ever had. It's my fault I didn't do enough research on this car. It was inexpensive and fun to drive but now I'm already really wanting to trade this piece of crap in for a mazda 3 hatchback. Which I should have bought in the first place. TRUST ME DO NOT BUY THIS CAR YOU WILL NOT DRIVE IT!,2.5,Lousy car This car is riddled with electrical and sensor problems. Had to get them to replace the headlights. Very bad acceleration and shifting. Probably the worst car I've ever had. It's my fault I didn't do enough research on this car. It was inexpensive and fun to drive but now I'm already really wanting to trade this piece of crap in for a mazda 3 hatchback. Which I should have bought in the first place. TRUST ME DO NOT BUY THIS CAR YOU WILL NOT DRIVE IT!,[],"['Very bad acceleration', 'bad acceleration']","[['car'], ['car'], ['car'], ['drive', 'nt'], ['bought']]",[],"['electrical problems', 'worst car', 'first place', 'Lousy car', 'really wanting', 'ever had', 'already wanting', 'enough research']",neg
 on 01/10/13 21:27 PM (PST),clover5 ,2007 Suzuki Reno Hatchback 4dr Hatchback w/ABS (2.0L 4cyl 5M),Should have had recalls," I bought mine new and have always had an issue with it having gaps in acceleration. Dealer said nothing wrong. Clutch worn very fast 35 k or so. Dealer said I had to replace I still have not 142 k. My major problem is it has always had poor gas mileage and codes it is not running effiecient. I have replaced the throttle body and sensor since you can't get just the sensor, O2 sensors, plugswires etc. It has had all normal and regular maintenence. The ""gaps"" are getting worse and it is not an automatic. The automatic ones just shift gears at any time. No problems with these have ever been a recall. I owned a KIA before and never had any issues. I can see why these cars are gone !",1.875,"Should have had recalls I bought mine new and have always had an issue with it having gaps in acceleration. Dealer said nothing wrong. Clutch worn very fast 35 k or so. Dealer said I had to replace I still have not 142 k. My major problem is it has always had poor gas mileage and codes it is not running effiecient. I have replaced the throttle body and sensor since you can't get just the sensor, O2 sensors, plugswires etc. It has had all normal and regular maintenence. The ""gaps"" are getting worse and it is not an automatic. The automatic ones just shift gears at any time. No problems with these have ever been a recall. I owned a KIA before and never had any issues. I can see why these cars are gone !",[],"['owned before', 'still have', 'worn so', 'never had']","[['bought', 'new'], ['nt'], ['etc'], ['nt'], ['one'], ['car', 'one']]","[('gas mileage', 'mileage'), ('throttle body', 'body'), ('O2 sensors', 'sensors'), ('ones gears', 'gears'), ('shift gears', 'gears')]","['normal maintenence', 'always had', 'major problem', 'poor gas mileage', 'automatic ones']",neg
 on 10/18/11 12:03 PM (PDT),anti_suzuki ,2007 Suzuki Reno Hatchback 4dr Hatchback w/Convenience Package (2.0L 4cyl 4A),Reno-Divorce," My quarrel is not with the car, which is built in Korea by Daewoo, but with the service and treatment of the Suzuki dealers.I have only had two issues with this car in 45,000 miles, but the last one was the last straw.I was charged $278 to fix a defective $45 electronic sensor.I watched the mechanic take 15 minutes, but they charged me 45 minutes labor. I told them what was wrong, internet supported common problem, and they charged me an additional $100 to diagnose it.I am trying to unload the car now and I would caution EVERYONE away from Suzuki cars.They dowble talk you with big warranties for which you still have to pay if the engine or trans do not fail completely.Stay Away!",2.625,"Reno-Divorce My quarrel is not with the car, which is built in Korea by Daewoo, but with the service and treatment of the Suzuki dealers.I have only had two issues with this car in 45,000 miles, but the last one was the last straw.I was charged $278 to fix a defective $45 electronic sensor.I watched the mechanic take 15 minutes, but they charged me 45 minutes labor. I told them what was wrong, internet supported common problem, and they charged me an additional $100 to diagnose it.I am trying to unload the car now and I would caution EVERYONE away from Suzuki cars.They dowble talk you with big warranties for which you still have to pay if the engine or trans do not fail completely.Stay Away!",[],"['electronic sensor', 'defective sensor', 'Stay Away']","[['nt', 'car'], ['miles', 'car', 'one'], ['minute', 'take'], ['nt'], ['car'], ['nt']]","[('Suzuki dealers', 'dealers'), ('minutes labor', 'labor'), ('Suzuki cars', 'cars')]","['caution away', 'common problem', 'still have', 'fail completely', 'only had', 'last one', 'last straw', 'big warranties']",neg
 on 05/21/08 17:39 PM (PDT),blu5092 ,2007 Suzuki Reno Hatchback 4dr Hatchback (2.0L 4cyl 4A),Great bang for the buck," I have this car less than a year and have no issues so far. It is comfortable, quick and good on gas. If you floor it, only then do you suffer poor gas mileage. Sometimes I can't help it since I am so impressed by this small motor. For a 2.0 this car is very fast. For anyone who doesn't want to hurt their wallet, this car beats any toyota that's similar in size. ",5.0,"Great bang for the buck I have this car less than a year and have no issues so far. It is comfortable, quick and good on gas. If you floor it, only then do you suffer poor gas mileage. Sometimes I can't help it since I am so impressed by this small motor. For a 2.0 this car is very fast. For anyone who doesn't want to hurt their wallet, this car beats any toyota that's similar in size. ","[('gas mileage', 'mileage')]","['poor gas mileage', 'small motor', 'then suffer', 'Sometimes help']","[['year', 'car', 'bang'], ['good'], ['car'], ['toyota', 'nt', 'car', 'one']]",[],"['have far', 'Great bang']",neg
 on 10/13/06 12:14 PM (PDT),Cris ,2007 Suzuki Reno Hatchback 4dr Hatchback (2.0L 4cyl 4A),Same Problems As the '06," I was put into a '07 Suzuki Reno after I had Âhard startÂ issues with the 2006 model after having the car for just five days.  The Â07 model developed hard start issues, again after just five days.  The dealer put me back in the Â06, which he claims is fixed. This issue first became apparent in the Â06 last Spring, although the company has yet to develop a permanent fix. Suzuki claims (through the dealer) that the hard start problem is limited to the Â06 and the Â07 I got was a fluke. If I could get Suzuki to void my contract, I would and I would never again buy a Suzuki or recommend one to anyone, even my worst enemy.  DonÂt even consider this car!",1.0,"Same Problems As the '06 I was put into a '07 Suzuki Reno after I had Âhard startÂ issues with the 2006 model after having the car for just five days.  The Â07 model developed hard start issues, again after just five days.  The dealer put me back in the Â06, which he claims is fixed. This issue first became apparent in the Â06 last Spring, although the company has yet to develop a permanent fix. Suzuki claims (through the dealer) that the hard start problem is limited to the Â06 and the Â07 I got was a fluke. If I could get Suzuki to void my contract, I would and I would never again buy a Suzuki or recommend one to anyone, even my worst enemy.  DonÂt even consider this car!","[('start issues', 'issues'), ('Suzuki claims', 'claims'), ('start problem', 'problem')]","['put back', 'hard start problem', 'Â\x9207 model', 'hard start issues']","[['nt', 'car'], ['nt'], ['nt', 'one'], ['car']]",[],"['even consider', 'worst enemy', 'yet develop', 'permanent fix', 'first became', 'startÂ\x94 issues', 'Same Problems', 'never buy']",neg
 on 02/26/10 14:36 PM (PST),Nahjdh ,2005 Suzuki Reno Hatchback S 4dr Hatchback (2.0L 4cyl 5M),My little 'Zuki," Bought used with 6k miles on it.  It now has over 80k and no major problems.  Putting a K&N filter, lighter flywheel pulley and a new exhuast turned this car into a beast.  One of the few cars I could find in a 5 spd. My wife and I used it as an autobahn cruiser while we were stationed in Europe.  Loved the surprised looks on BMW owners faces as we passed them doing 100+mph!  We love this little car and plan to run the wheels off it.  It has been dubbed ""Road Runner"" by the wife because it's quick and fun to drive.",4.75,"My little 'Zuki Bought used with 6k miles on it.  It now has over 80k and no major problems.  Putting a K&N filter, lighter flywheel pulley and a new exhuast turned this car into a beast.  One of the few cars I could find in a 5 spd. My wife and I used it as an autobahn cruiser while we were stationed in Europe.  Loved the surprised looks on BMW owners faces as we passed them doing 100+mph!  We love this little car and plan to run the wheels off it.  It has been dubbed ""Road Runner"" by the wife because it's quick and fun to drive.",[],['major problems'],"[['miles'], ['nt', 'car', 'new'], ['car'], ['one', 'wife', 'autobahn'], ['car', 'love'], ['drive', 'wife']]","[('K&N filter', 'filter'), ('flywheel pulley', 'pulley'), ('autobahn cruiser', 'cruiser'), ('BMW owners', 'owners')]","['few cars', 'new exhuast', 'surprised looks', 'little car', 'lighter flywheel pulley']",neg
