Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating,Full Review,compound_nouns,aspect_keywords,competition,competition_comp_nouns,competition_aspects,sentiment
 on 09/02/09 14:37 PM (PDT),rc ,2008 Suzuki Reno Hatchback 4dr Hatchback (2.0L 4cyl 4A),fun small car," We bought this car with a sonata in mind but the price point was to much to pass up.  Its peppy and quick for such a small engine. Plan to put on wheels, Cruise, tint and keyless with an alarm.  Love it get lots of second looks in the parking lots.  Put on a coat of turtle wax ice and it looks great. Only problem was pass seat airbag light but was resolved in one visit. 12k out the door cash and we are really happy with it! Lots of room for a small car and with some things like new wheels and tires maybe springs it will handle even better. Also try a k&n airfilter it will bump up the hp and gas mileage! Had a Suzuki motorcycle and this lives up to the name!",4.625,"fun small car We bought this car with a sonata in mind but the price point was to much to pass up.  Its peppy and quick for such a small engine. Plan to put on wheels, Cruise, tint and keyless with an alarm.  Love it get lots of second looks in the parking lots.  Put on a coat of turtle wax ice and it looks great. Only problem was pass seat airbag light but was resolved in one visit. 12k out the door cash and we are really happy with it! Lots of room for a small car and with some things like new wheels and tires maybe springs it will handle even better. Also try a k&n airfilter it will bump up the hp and gas mileage! Had a Suzuki motorcycle and this lives up to the name!","[('k&n airfilter', 'airfilter'), ('Suzuki motorcycle', 'motorcycle')]",['small engine'],"[['nt', 'bought', 'car'], ['nt'], ['second'], ['great'], ['one'], ['like', 'car', 'new']]","[('price point', 'point'), ('parking lots', 'lots'), ('turtle wax', 'wax'), ('wax ice', 'ice'), ('seat light', 'light'), ('airbag light', 'light'), ('door cash', 'cash')]","['fun car', 'small car', 'new wheels', 'Only problem', 'second looks']",pos
 on 03/29/08 22:22 PM (PDT),vickid ,2008 Suzuki Reno Hatchback 4dr Hatchback (2.0L 4cyl 4A),Cool little car," Good car for the price with a good warranty. Comfortable, good looking. Lots of base price features. It's zippy, quiet, and rides well. ",4.375,"Cool little car Good car for the price with a good warranty. Comfortable, good looking. Lots of base price features. It's zippy, quiet, and rides well. ","[('base features', 'features'), ('price features', 'features')]",['rides well'],"[['nt', 'good', 'car'], ['good']]",[],"['Cool car', 'Good car', 'little car', 'good warranty']",pos
 on 08/07/16 07:16 AM (PDT),Shauna ,2006 Suzuki Reno Hatchback 4dr Hatchback (2.0L 4cyl 5M),2006 Suzuki Reno," I got an '06 Reno in October of '15. It had 51k miles. I was surprised to find that this vehicle did not have cruise control, as many older vehicles (different make) do. The mpgs are not very good, even when using high octane fuel and keeping maintenance regular (correct air pressure in tires, clean air filter, oil changes ever 3k miles). I've already had to replace the head gasket in the engine. Come to find out there was an air bag/warranty issue for Renos, that effect/affect mine, according to the VIN. Not sure if it was the best choice, but I needed a car. It's still good, just think that an '06 vehicle, regardless of who it's from, should have cruise control. According to good 'ol Google, '06 Renos get 20 city and 28 highway.",3.0,"2006 Suzuki Reno I got an '06 Reno in October of '15. It had 51k miles. I was surprised to find that this vehicle did not have cruise control, as many older vehicles (different make) do. The mpgs are not very good, even when using high octane fuel and keeping maintenance regular (correct air pressure in tires, clean air filter, oil changes ever 3k miles). I've already had to replace the head gasket in the engine. Come to find out there was an air bag/warranty issue for Renos, that effect/affect mine, according to the VIN. Not sure if it was the best choice, but I needed a car. It's still good, just think that an '06 vehicle, regardless of who it's from, should have cruise control. According to good 'ol Google, '06 Renos get 20 city and 28 highway.","[('head gasket', 'gasket')]",['already had'],"[['miles'], ['nt', 'vehicle'], ['nt', 'good', 'miles'], ['nt'], ['car'], ['nt', 'vehicle', 'good', 'think'], ['good']]","[('51k miles', 'miles'), ('cruise control', 'control'), ('octane fuel', 'fuel'), ('air pressure', 'pressure'), ('air filter', 'filter'), ('oil changes', 'changes'), ('warranty issue', 'issue'), ('cruise control', 'control')]","['high octane', 'even using', 'regardless have', 'clean air filter', 'best choice', 'different make', 'regular air pressure', 'correct air pressure', 'surprised to find', 'older vehicles', 'many vehicles']",pos
 on 12/03/15 20:01 PM (PST),Sansaloo ,2006 Suzuki Reno Hatchback Convenience 4dr Hatchback (2.0L 4cyl 4A),Worst mistake of my life," Bought this car and an emergency car in January 2014 after I totaled my last car. Car was great for 5 months when the check engine came on. Turns out it was the throttle body,  which was no longer made. Dealt with it for another year and few months before everything started going wrong. Lower control arms needed replaced, quickly followed by having to replace the entire shifter assembly.  Both front and rear struts need replaced, including the mounting and stabilizers. Rack and pinions are starting to leak, has to replace a oil gasket, and now the throttle position sensor is shot. Only a dealer can calibrate a new one, and you have to replace the whole throttle body, not just the sensor. Only 69100 miles on this car, it shouldn't have all these issues!",2.0,"Worst mistake of my life Bought this car and an emergency car in January 2014 after I totaled my last car. Car was great for 5 months when the check engine came on. Turns out it was the throttle body,  which was no longer made. Dealt with it for another year and few months before everything started going wrong. Lower control arms needed replaced, quickly followed by having to replace the entire shifter assembly.  Both front and rear struts need replaced, including the mounting and stabilizers. Rack and pinions are starting to leak, has to replace a oil gasket, and now the throttle position sensor is shot. Only a dealer can calibrate a new one, and you have to replace the whole throttle body, not just the sensor. Only 69100 miles on this car, it shouldn't have all these issues!","[('throttle body', 'body'), ('oil gasket', 'gasket'), ('throttle position', 'position'), ('position sensor', 'sensor')]",['longer made'],"[['car', 'take'], ['nt', 'great'], ['nt', 'year'], ['nt'], ['nt'], ['one', 'new'], ['miles', 'car']]","[('emergency car', 'car'), ('check engine', 'engine'), ('control arms', 'arms'), ('throttle body', 'body')]","['new one', 'front struts', 'last emergency car', 'Lower control arms', 'whole throttle body', 'Worst mistake', 'few months', 'entire assembly', 'quickly followed', 'shifter assembly']",pos
 on 05/16/12 16:36 PM (PDT),dora5 ,2006 Suzuki Reno Hatchback Convenience 4dr Hatchback (2.0L 4cyl 4A),2006 Suzuki Reno," I purchased my car in 2011 at 48,000 miles, and the biggest problem is that it isn't good on gas. Also, I was told by a mechanic at a a Goodyear Service Center two days ago that I might need struts, rack and pinion work and rods!!! Even though the car was given a clean bill of health just six months ago, and only has 52,000 miles on it. Today, I went to the Suzuki authorized service center and they said I don't need anything but an alignment and new wipers. They thought the struts where getting dry, but not a problem. Seems to me Goodyear wanted to make a little money.To be safe, I am taking it to a third shop just in case. Luckily, I purchased an extended warranty.",4.125,"2006 Suzuki Reno I purchased my car in 2011 at 48,000 miles, and the biggest problem is that it isn't good on gas. Also, I was told by a mechanic at a a Goodyear Service Center two days ago that I might need struts, rack and pinion work and rods!!! Even though the car was given a clean bill of health just six months ago, and only has 52,000 miles on it. Today, I went to the Suzuki authorized service center and they said I don't need anything but an alignment and new wipers. They thought the struts where getting dry, but not a problem. Seems to me Goodyear wanted to make a little money.To be safe, I am taking it to a third shop just in case. Luckily, I purchased an extended warranty.",[],['third shop'],"[['good', 'miles', 'car'], ['nt', 'miles', 'year', 'car', 'work', 'give'], ['nt', 'new'], ['nt', 'year', 'one'], ['nt']]","[('service center', 'center')]","['given ago', 'extended warranty', 'new wipers', 'Even given', 'Also told', 'Luckily purchased', 'biggest problem', 'little money', 'clean bill']",pos
 on 10/18/10 00:00 AM (PDT),Ed ,2006 Suzuki Reno Hatchback Convenience 4dr Hatchback (2.0L 4cyl 4A),Piece of junk," I purchased this car in 2006. Since then its been in the shop at least 6 times. I've had major issues with the transmission sensor. When the sensor goes bad the car does not move. I was driving this car to work at the speed limit of 50, then I had to stop for a light, when I was taking off the check engine light came on and the car had almost no power. If I knew then what I know now I would have opted for a better car. I would never purchase another Suzuki. I guess you get what you pay for. Oh and getting rid of it is much more difficult considering its worthless.",2.0,"Piece of junk I purchased this car in 2006. Since then its been in the shop at least 6 times. I've had major issues with the transmission sensor. When the sensor goes bad the car does not move. I was driving this car to work at the speed limit of 50, then I had to stop for a light, when I was taking off the check engine light came on and the car had almost no power. If I knew then what I know now I would have opted for a better car. I would never purchase another Suzuki. I guess you get what you pay for. Oh and getting rid of it is much more difficult considering its worthless.","[('transmission sensor', 'sensor')]","['major issues', 'never purchase']","[['car'], ['car'], ['car', 'work'], ['car', 'new']]","[('speed limit', 'limit'), ('check engine', 'engine'), ('engine light', 'light')]","['then had', 'better car', 'knew then']",pos
 on 07/17/10 00:54 AM (PDT),CableGuy30 ,2006 Suzuki Reno Hatchback 4dr Hatchback (2.0L 4cyl 4A),2nd Reno and would buy again," Ok. So I see all these bad reviews on here, and dealing with the public I know more people complain than compliment. So here goes my story. This is my second Reno. First one had for 9 months, 27,000 miles. No problems. Until it got totaled when got hit by a semi truck. I walked away from the wreck. This one now has 76,000 miles and no problems. The a/c is poor, but tint the Windows and that takes care of 2 things at once. Makes the car look even better and helps the a/c. I wish they still made this car cause I would buy another one. ",4.125,"2nd Reno and would buy again Ok. So I see all these bad reviews on here, and dealing with the public I know more people complain than compliment. So here goes my story. This is my second Reno. First one had for 9 months, 27,000 miles. No problems. Until it got totaled when got hit by a semi truck. I walked away from the wreck. This one now has 76,000 miles and no problems. The a/c is poor, but tint the Windows and that takes care of 2 things at once. Makes the car look even better and helps the a/c. I wish they still made this car cause I would buy another one. ",[],"['walked away', 'So goes']","[['nt', 'people'], ['second'], ['nt', 'miles', 'one'], ['nt', 'truck'], ['miles', 'one'], ['nt', 'take'], ['car'], ['car', 'one']]",[],"['bad reviews', 'semi truck', 'still made', 'look better']",pos
 on 07/12/10 11:35 AM (PDT),Renee' ,2006 Suzuki Reno Hatchback 4dr Hatchback (2.0L 4cyl 4A),Okay Car for the Money," I bought this car used.  I have not had to do anything to it except oil changes and standard maintenance stuff.  It's almost time to replace the tires.  The price of the standard tires was higher than I expected.  Every tire place I went to said they were not a size they stocked, so that was surprising.  But overall, I really like the car so far.  Have not had any mechanical issues.  The main thing is to remember it is an inexpensive car, don't expect it to drive like a Mercedes or you're setting yourself up for disappointment.  But great car, glad we bought it.",3.375,"Okay Car for the Money I bought this car used.  I have not had to do anything to it except oil changes and standard maintenance stuff.  It's almost time to replace the tires.  The price of the standard tires was higher than I expected.  Every tire place I went to said they were not a size they stocked, so that was surprising.  But overall, I really like the car so far.  Have not had any mechanical issues.  The main thing is to remember it is an inexpensive car, don't expect it to drive like a Mercedes or you're setting yourself up for disappointment.  But great car, glad we bought it.",[],"['mechanical issues', 'standard tires']","[['bought', 'car', 'one'], ['nt'], ['nt'], ['like', 'car'], ['drive', 'nt', 'like', 'car'], ['bought', 'car', 'great']]","[('oil changes', 'changes'), ('maintenance stuff', 'stuff'), ('tire place', 'place')]","['really like', 'like far', 'standard maintenance stuff', 'great car', 'inexpensive car', 'main thing']",pos
 on 12/27/09 13:57 PM (PST),dk676 ,2006 Suzuki Reno Hatchback 4dr Hatchback (2.0L 4cyl 4A),Worst car ever buyers beware, I purchased my car because i needed a four door due to having a child & i wish i never had! I had over $600 in work done and was told it should help the gas mileage it made it worse. Now they tell me its normal. They dont tell you about recalls until you call for other issues or hear about it from someone else. I had the transmission replaced & that took over two weeks & 2 different transmissions. The dealer never called me i had to call them to check on the car. My brother also has one and he has had his in the shop more than he gets to drive it.  My suggestion is dont ever buy a suziki they are the biggest piece of crap ever made & they dont care as long as you are making your payments! ,1.875,Worst car ever buyers beware I purchased my car because i needed a four door due to having a child & i wish i never had! I had over $600 in work done and was told it should help the gas mileage it made it worse. Now they tell me its normal. They dont tell you about recalls until you call for other issues or hear about it from someone else. I had the transmission replaced & that took over two weeks & 2 different transmissions. The dealer never called me i had to call them to check on the car. My brother also has one and he has had his in the shop more than he gets to drive it.  My suggestion is dont ever buy a suziki they are the biggest piece of crap ever made & they dont care as long as you are making your payments! ,[],['Now tell'],"[['car', 'work', 'one', 'child'], ['nt', 'one'], ['nt'], ['car'], ['drive', 'one'], ['nt']]","[('gas mileage', 'mileage')]","['ever made', 'other issues', 'buy long', 'never called', 'never had', 'biggest piece', 'had more', 'different transmissions', 'ever buy', 'Worst car']",pos
 on 05/15/09 22:39 PM (PDT),Harvester ,2006 Suzuki Reno Hatchback 4dr Hatchback (2.0L 4cyl 4A),Reliable Little Buggy for 2 Years Now," This has to be one of the best deals I've ever gotten on a used car. Bought  it less than a year old, with 8500 miles.  The cost was already 2/3 of a new one.  All the complaints I've read about have never happened to me.  There were 3 recalls that the Suzuki dealer performed - one for a wiring harness, one for a seatbelt thing, and the other for the running lights.  I took this car on a road trip across Texas and back and was very good on gas.  For $200 I put a Pioneer radio and it made all the difference in the world.  The speakers are actually very nice sounding if you put some wattage behind them.",3.875,"Reliable Little Buggy for 2 Years Now This has to be one of the best deals I've ever gotten on a used car. Bought  it less than a year old, with 8500 miles.  The cost was already 2/3 of a new one.  All the complaints I've read about have never happened to me.  There were 3 recalls that the Suzuki dealer performed - one for a wiring harness, one for a seatbelt thing, and the other for the running lights.  I took this car on a road trip across Texas and back and was very good on gas.  For $200 I put a Pioneer radio and it made all the difference in the world.  The speakers are actually very nice sounding if you put some wattage behind them.",[],"['actually nice sounding', 'very nice sounding', 'nice sounding']","[['car', 'one'], ['miles', 'year'], ['one', 'new'], ['nt'], ['one'], ['good', 'car', 'road'], ['one']]","[('Suzuki dealer', 'dealer'), ('wiring harness', 'harness'), ('seatbelt thing', 'thing'), ('road trip', 'trip'), ('Pioneer radio', 'radio')]","['new one', 'best deals', 'used car', 'never happened', 'ever gotten']",pos
