Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating,Full Review,compound_nouns,aspect_keywords,competition,competition_comp_nouns,competition_aspects,sentiment
 on 05/23/18 06:57 AM (PDT),Bill From MI ,2007 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 5A),280K MIles and Very Relieable," I have owned a 2007 Touring model for 3 years.  I purchased with 180K miles after my Lexus LS430 was totaled.  I looked at a number of Avalons but did not want to spend over $10K for a lower mileage one because I drive over 30K miles per year.  I bought this specific car thinking that I might drive it for a year while I looked for another LS430.  I love the handling and comfort of this car. It does not ride as soft as the LS but it easier to drive because it just soaks up the miles without much steering correction.  I tried the Limited model first but found the cooled seats were not as comfortable as those without this feature.  I specifically looked for a model that did NOT have the sunroof as this feature limits headroom (I'm 6'2"") and need the extra 3"" or so that models without the sunroom have.  I have put a new battery and brakes on this car.  Those have been the only repairs in 100K miles.  No check engine lights.  No weird noises.  Great acceleration.  This is a roomy car with a huge back seat.  It's not fair to compare with the LS 430 that costs twice as much but there are some areas that seem to not be as nice-like the trunk carpet and trim.  Overall, this has been a great used car for us-I would purchase again and recommend to anyone looking for a large dependable sedan.  Because everyone wants an SUV these tend to be lower priced on the used market (compared to SUV's) and make a great buy for people looking for reasonable transportation.",5.0,"280K MIles and Very Relieable I have owned a 2007 Touring model for 3 years.  I purchased with 180K miles after my Lexus LS430 was totaled.  I looked at a number of Avalons but did not want to spend over $10K for a lower mileage one because I drive over 30K miles per year.  I bought this specific car thinking that I might drive it for a year while I looked for another LS430.  I love the handling and comfort of this car. It does not ride as soft as the LS but it easier to drive because it just soaks up the miles without much steering correction.  I tried the Limited model first but found the cooled seats were not as comfortable as those without this feature.  I specifically looked for a model that did NOT have the sunroof as this feature limits headroom (I'm 6'2"") and need the extra 3"" or so that models without the sunroom have.  I have put a new battery and brakes on this car.  Those have been the only repairs in 100K miles.  No check engine lights.  No weird noises.  Great acceleration.  This is a roomy car with a huge back seat.  It's not fair to compare with the LS 430 that costs twice as much but there are some areas that seem to not be as nice-like the trunk carpet and trim.  Overall, this has been a great used car for us-I would purchase again and recommend to anyone looking for a large dependable sedan.  Because everyone wants an SUV these tend to be lower priced on the used market (compared to SUV's) and make a great buy for people looking for reasonable transportation.","[('feature limits', 'limits'), ('check engine', 'engine'), ('engine lights', 'lights')]","['tried first', 'specifically looked', 'Great acceleration', 'Limited model', 'weird noises']","[['year'], ['miles'], ['drive', 'nt', 'miles', 'year', 'one'], ['drive', 'bought', 'year', 'car', 'think'], ['car', 'love'], ['drive', 'miles'], ['car', 'new'], ['miles'], ['car'], ['like', 'car'], ['car', 'one', 'sedan', 'great'], ['nt', 'people', 'one', 'sport', 'great']]","[('Touring model', 'model'), ('K miles', 'miles'), ('K miles', 'miles'), ('car thinking', 'thinking'), ('steering correction', 'correction'), ('K miles', 'miles'), ('back seat', 'seat'), ('trunk carpet', 'carpet')]","['easier to drive', 'only repairs', 'used market', 'reasonable transportation', 'much steering correction', 'specific car thinking', 'large sedan', 'roomy car', 'new battery', 'great car', 'great buy', 'lower mileage', 'lower priced', 'huge back seat', 'used car', 'dependable sedan']",neg
 on 01/14/17 22:18 PM (PST),Dan ,2007 Toyota Avalon Sedan XLS 4dr Sedan (3.5L 6cyl 5A),Where's the old cars?," Where to begin.. I'm just a joe who likes to save money so forgive me for my rant. and stop reading if you are part of the buy a car for 20,000 and pay everyone to fix it then sell it when your tired of it and buy a whole new car... If that's you... Then STOP reading this. You will be offended. Toyota makes great engines and has a history of great engines, but they(and most other car companies) have made their vehicles non user friendly. And simple parts and accessories have lost their quality.What do I mean? I mean I believe toyota is going backwards from the original beauty of their older predecessors.its sad. Take my 2000 Camry with a 4cyl. All the hoses are thick and heavy duty. Made to last!every clamp and air hose is easily accessible. The 2007 Avalon however has leaks in the brake lines,coolant lines,power steering line, and windshield washer line, and it only has 140k miles!so replace all those lines. Then remove all the engine paraphernalia and look at your engine, then take your bumper off and replace your light bulbs.... See what I'm getting at.. Heck supposedly the newest cars are going to require the entire cab to be removed for an oil change!They want your money at the factory.. They don't want you doing your engine work.. Or the mechanic.. They want to narrow it down to your money and the Toyota factory. Forget aftermarket and quick fixes and good engines that last a million miles in the 70s they have you buying a new car every 300,000 miles and all the in between fixens. Thanks for your time and be grateful for your old beater!btw great car other than being a possible money pit... Handles well and is comfy and pretty.",3.0,"Where's the old cars? Where to begin.. I'm just a joe who likes to save money so forgive me for my rant. and stop reading if you are part of the buy a car for 20,000 and pay everyone to fix it then sell it when your tired of it and buy a whole new car... If that's you... Then STOP reading this. You will be offended. Toyota makes great engines and has a history of great engines, but they(and most other car companies) have made their vehicles non user friendly. And simple parts and accessories have lost their quality.What do I mean? I mean I believe toyota is going backwards from the original beauty of their older predecessors.its sad. Take my 2000 Camry with a 4cyl. All the hoses are thick and heavy duty. Made to last!every clamp and air hose is easily accessible. The 2007 Avalon however has leaks in the brake lines,coolant lines,power steering line, and windshield washer line, and it only has 140k miles!so replace all those lines. Then remove all the engine paraphernalia and look at your engine, then take your bumper off and replace your light bulbs.... See what I'm getting at.. Heck supposedly the newest cars are going to require the entire cab to be removed for an oil change!They want your money at the factory.. They don't want you doing your engine work.. Or the mechanic.. They want to narrow it down to your money and the Toyota factory. Forget aftermarket and quick fixes and good engines that last a million miles in the 70s they have you buying a new car every 300,000 miles and all the in between fixens. Thanks for your time and be grateful for your old beater!btw great car other than being a possible money pit... Handles well and is comfy and pretty.",[],"['Then STOP', 'simple parts']","[['car'], ['nt', 'like', 'one', 'give'], ['car', 'one', 'new'], ['vehicle', 'car', 'great'], ['toyota'], ['nt', 'miles'], ['take'], ['nt', 'car', 'one', 'new'], ['nt', 'work'], ['nt', 'one'], ['good', 'miles', 'car', 'new'], ['car', 'one', 'great']]","[('car companies', 'companies'), ('Avalon leaks', 'leaks'), ('brake lines', 'lines'), ('coolant lines', 'lines'), ('power steering', 'steering'), ('steering line', 'line'), ('windshield washer', 'washer'), ('washer line', 'line'), ('engine paraphernalia', 'paraphernalia'), ('engine work', 'work'), ('Toyota factory', 'factory'), ('money pit', 'pit')]","['quick fixes', 'great car', 'great engines', 'original beauty', 'going backwards', 'fix then', 'old beater!btw', 'supposedly going', 'other car companies', 'whole car', 'good engines', 'possible money pit', 'remove then', 'old cars', 'newest cars', 'older predecessors', 'new car', 'most car companies', 'Then remove', 'entire cab']",neg
 on 03/13/16 17:37 PM (PDT),William ,2007 Toyota Avalon Sedan XL 4dr Sedan (3.5L 6cyl 5A),Nice car, Fun to drive. Have very problems,5.0,Nice car Fun to drive. Have very problems,[],['very problems'],"[['drive', 'car']]",[],['Nice car'],neg
 on 02/25/10 08:13 AM (PST),Mike ,2007 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 5A),steaming pile," This is the most disappointing car I've ever owned. Although it's comfortable, quiet, roomy and has a great stereo, it's had 3 recalls. Other than the notorious gas pedal problem, it also has a recall on a defective oil supply line going to the valves. If this bursts like mine did you may very well destroy your engine and the only warning you will get is the sound of your engine seizing up! The transmission is jerky but no recall for that yet. If you already own one of these cars, call your dealer NOW and tell them you want the oil supply line replaced at once (for free) or you'll be very sorry. They will not warn you about this problem ahead of time by sending you a letter so call today.",3.375,"steaming pile This is the most disappointing car I've ever owned. Although it's comfortable, quiet, roomy and has a great stereo, it's had 3 recalls. Other than the notorious gas pedal problem, it also has a recall on a defective oil supply line going to the valves. If this bursts like mine did you may very well destroy your engine and the only warning you will get is the sound of your engine seizing up! The transmission is jerky but no recall for that yet. If you already own one of these cars, call your dealer NOW and tell them you want the oil supply line replaced at once (for free) or you'll be very sorry. They will not warn you about this problem ahead of time by sending you a letter so call today.","[('gas pedal', 'pedal'), ('pedal problem', 'problem'), ('oil supply', 'supply'), ('supply line', 'line'), ('letter call', 'call')]","['Other reletter call', 'defective supply line', 'notorious pedal problem', 'warn ahead']","[['nt', 'car'], ['great'], ['like'], ['nt', 'car', 'one']]","[('steaming pile', 'pile'), ('oil supply', 'supply'), ('supply line', 'line')]","['comfortable roomy', 'disappointing car', 'well destroy', 'only warning', 'already own', 'great stereo', 'call NOW', 'quiet roomy', 'most disappointing car', 'ever owned']",neg
 on 10/29/08 17:41 PM (PDT),sstred ,2007 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 5A),2007 Limited ," Had my Avalon about a year now.  Same problem as others with the window washer fluid.  Other than that, no problems, except the paint is very poor (hence the 7 for 'build quality'). I'm not looking forward to the paint in another couple of years.  We get 32 on the freeway and in the low 20s in town when my wife drives... not so much with me driving. The tranny feels a little weird at times (almost like it's slipping), but I guess that's just the way its made.  We've have no problems with it.  I had the factory wheels chromed for about $400.  Good value for the money",4.75,"2007 Limited  Had my Avalon about a year now.  Same problem as others with the window washer fluid.  Other than that, no problems, except the paint is very poor (hence the 7 for 'build quality'). I'm not looking forward to the paint in another couple of years.  We get 32 on the freeway and in the low 20s in town when my wife drives... not so much with me driving. The tranny feels a little weird at times (almost like it's slipping), but I guess that's just the way its made.  We've have no problems with it.  I had the factory wheels chromed for about $400.  Good value for the money","[('window washer', 'washer'), ('factory wheels', 'wheels')]",['Same problem'],"[['year', 'now'], ['nt'], ['nt', 'year'], ['drive', 'wife'], ['like'], ['one']]","[('build quality', 'quality')]","['Had now', 'Good value', 'looking forward', 'almost slipping', 'low 20s']",neg
 on 04/04/08 08:01 AM (PDT),David A ,2007 Toyota Avalon Sedan Limited 4dr Sedan (3.5L 6cyl 5A),I just got rid of it after 6500 miles," I bought this car after doing a lot of research and was initially quite happy with it.  Over the 15 months that I had it, it was in the shop twice for rattles, and twice to have the oxygen sensor issue fixed, for a total of about 7 or 8 days without the car, most was related to the sensors. It had another annoying rattle in the dash when I got rid of it.   These may have all started after I had XM added to the car, but that doesn't make the rattles go away.   I traded it in for a non-Toyota vehicle after 6500 miles. ",3.375,"I just got rid of it after 6500 miles I bought this car after doing a lot of research and was initially quite happy with it.  Over the 15 months that I had it, it was in the shop twice for rattles, and twice to have the oxygen sensor issue fixed, for a total of about 7 or 8 days without the car, most was related to the sensors. It had another annoying rattle in the dash when I got rid of it.   These may have all started after I had XM added to the car, but that doesn't make the rattles go away.   I traded it in for a non-Toyota vehicle after 6500 miles. ",[],['annoying rattle'],"[['miles', 'bought', 'car'], ['nt', 'car'], ['car'], ['vehicle', 'miles']]","[('oxygen sensor', 'sensor'), ('sensor issue', 'issue'), ('Toyota vehicle', 'vehicle')]","['twice have', 'go away', 'non Toyota vehicle']",neg
 on 12/21/07 17:16 PM (PST),CJB ,2007 Toyota Avalon Sedan Touring 4dr Sedan (3.5L 6cyl 5A),Avalon let down," The looks of this car were all that remains after less than a year 6 problems in the first year. Rain leaks, water from washer fluid leaks, tire sensors bad, no start twice, and a very strange shift pattern unless I drive like my grand mom. No fun car. Looks good but I expected more. Next time it is the Acura.  Either I got a bad apple or the Toyota name is not all what is is hyped up to be.",3.0,"Avalon let down The looks of this car were all that remains after less than a year 6 problems in the first year. Rain leaks, water from washer fluid leaks, tire sensors bad, no start twice, and a very strange shift pattern unless I drive like my grand mom. No fun car. Looks good but I expected more. Next time it is the Acura.  Either I got a bad apple or the Toyota name is not all what is is hyped up to be.","[('Toyota name', 'name')]","['bad apple', 'Next time']","[['year', 'car'], ['drive', 'like', 'range'], ['car'], ['good']]","[('Rain leaks', 'leaks'), ('washer leaks', 'leaks'), ('fluid leaks', 'leaks'), ('tire sensors', 'sensors'), ('shift pattern', 'pattern'), ('fun car', 'car')]","['grand mom', 'first year', 'expected more', 'strange shift pattern', 'very strange shift pattern']",neg
 on 09/20/07 15:15 PM (PDT),PhxOwner ,2007 Toyota Avalon Sedan XLS 4dr Sedan (3.5L 6cyl 5A),Quality is gone," I owned a 1997 Avalon XLS and it was perhaps the finest car I've ever owned.  That's why I bought another one last year.  What a disappointment.  The transmission always hesitates before finding the right gear, there is a thumping noise coming from the trunk every time I go over a bump, but there is nothing in the trunk.  The wind noise on the freeway is excessive.  Rear visibility isn't very good.  Cup holders don't hold standard cups.  Toyota missed with this one.  ",3.75,"Quality is gone I owned a 1997 Avalon XLS and it was perhaps the finest car I've ever owned.  That's why I bought another one last year.  What a disappointment.  The transmission always hesitates before finding the right gear, there is a thumping noise coming from the trunk every time I go over a bump, but there is nothing in the trunk.  The wind noise on the freeway is excessive.  Rear visibility isn't very good.  Cup holders don't hold standard cups.  Toyota missed with this one.  ","[('thumping noise', 'noise'), ('wind noise', 'noise'), ('Cup holders', 'holders')]","['standard cups', 'right gear', 'always hesitates']","[['car', 'one'], ['bought', 'year', 'one'], ['nt'], ['good'], ['one']]",[],"['ever owned', 'Rear visibility', 'last year', 'finest car']",neg
 on 08/03/18 11:39 AM (PDT),Wesley L. Albert ,2013 Toyota Avalon Sedan XLE Touring 4dr Sedan (3.5L 6cyl 6A),Sporty car with a ride to match.," This was one of the most reliable cars I have ever owned.  Just oil changes and new tires when the originals wore out.  The car handled great and had very good power and stopping ability.  Sadly, it rode pretty rough with its low profile tires. The trunk was miniscule and the rear seat didn't fold down.  Rear visibility was poor at best.  Thankfully it had a rear camera and cross traffic sensors.  The blind spot monitors worked well. Buy it if you don't need much cargo carrying capacity and like a sporty sedan and don't mind a less than ideal ride----a trade-off for the excellent handling.  Good gas mileage.",4.0,"Sporty car with a ride to match. This was one of the most reliable cars I have ever owned.  Just oil changes and new tires when the originals wore out.  The car handled great and had very good power and stopping ability.  Sadly, it rode pretty rough with its low profile tires. The trunk was miniscule and the rear seat didn't fold down.  Rear visibility was poor at best.  Thankfully it had a rear camera and cross traffic sensors.  The blind spot monitors worked well. Buy it if you don't need much cargo carrying capacity and like a sporty sedan and don't mind a less than ideal ride----a trade-off for the excellent handling.  Good gas mileage.","[('profile tires', 'tires'), ('traffic sensors', 'sensors'), ('gas mileage', 'mileage')]","['rear camera', 'Good gas mileage', 'Thankfully had', 'low profile', 'Sadly rode', 'rode rough', 'rear seat']","[['car'], ['car', 'one'], ['new'], ['good', 'car', 'great'], ['work'], ['nt', 'like', 'car', 'sedan', 'sport']]","[('oil changes', 'changes'), ('spot monitors', 'monitors'), ('cargo carrying', 'carrying'), ('carrying capacity', 'capacity')]","['very good power', 'sporty sedan', 'much carrying capacity', 'less ride', 'good power', 'Sporty car', 'excellent handling', 'handled great', 'blind spot monitors', 'worked well', 'reliable cars', 'new tires', 'ideal ride', 'ever owned', 'most reliable cars']",neg
 on 10/30/17 06:02 AM (PDT),Frank ,2013 Toyota Avalon Sedan XLE 4dr Sedan (3.5L 6cyl 6A),Best Avalon yet.," Traded in a 2008 Avalon for a 2013. Was a little worried when I read some negative reviews, but NONE of those issues turned out to be true for me. The seats are WAY better than my previous 2008. The ride is much sportier, especially in regard to steering and handling. Yes, you get a little more ""roadfeel"", but I'd rather feel that I have more precise control, which I definitely do with this new model. Motor is essentially the same as my 2008, and I had ZERO issues with that car (owned until 155K miles). Looks way less like a little old man's car, and more modern. Interior is way nicer, and road noise is way less than my 2008. Stereo is a HUGE improvement as well. Technology overall is impressive in the base model, which was not the case with previous Avalon base models.  Great on the highway just like previous models. As far as resale value, nothing beat's Toyotas, especially the Avalon.",5.0,"Best Avalon yet. Traded in a 2008 Avalon for a 2013. Was a little worried when I read some negative reviews, but NONE of those issues turned out to be true for me. The seats are WAY better than my previous 2008. The ride is much sportier, especially in regard to steering and handling. Yes, you get a little more ""roadfeel"", but I'd rather feel that I have more precise control, which I definitely do with this new model. Motor is essentially the same as my 2008, and I had ZERO issues with that car (owned until 155K miles). Looks way less like a little old man's car, and more modern. Interior is way nicer, and road noise is way less than my 2008. Stereo is a HUGE improvement as well. Technology overall is impressive in the base model, which was not the case with previous Avalon base models.  Great on the highway just like previous models. As far as resale value, nothing beat's Toyotas, especially the Avalon.","[('base model', 'model'), ('Avalon models', 'models'), ('base models', 'models'), ('resale value', 'value')]","['previous base Avalon base models', 'negative reviews']","[['sport'], ['nt', 'new', 'road'], ['nt', 'miles', 'car'], ['like', 'car'], ['nt', 'road'], ['nt'], ['like']]","[('ZERO issues', 'issues'), ('K miles', 'miles'), ('road noise', 'noise')]","['definitely do', 'precise control', 'previous models', 'HUGE improvement', 'new model', 'old man', 'more precise control', 'little man', 'Looks less', 'more roadfeel', 'rather feel']",neg
