Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating,Full Review,compound_nouns,aspect_keywords,competition,competition_comp_nouns,competition_aspects,sentiment
 on 11/21/08 18:11 PM (PST),lordway ,2008 Volvo S60 Sedan 2.5T 4dr Sedan (2.5L 5cyl Turbo 5A),Relability Stinks," I liked this car a lot when I first bought it. Now I regret my purchase. It's too small for a normal sized person and forget about fitting anyone in the back seat. It's too small for even a child. The trunk space is not practical. It's not a true sport sedan and the gas mileage is poor considering its size and that it has only 5 cylinders. Furthermore, the relability is suspect. It has been to the dealership 4 times in 4 months for two intermitent problems (antilock brakes and the radio). No resolution for the second problem yet. The dealer has not been able to fix the problem without keeping the car for a week at a time. Bottom line: Don't make my mistake, buy Japanese.     ",1.875,"Relability Stinks I liked this car a lot when I first bought it. Now I regret my purchase. It's too small for a normal sized person and forget about fitting anyone in the back seat. It's too small for even a child. The trunk space is not practical. It's not a true sport sedan and the gas mileage is poor considering its size and that it has only 5 cylinders. Furthermore, the relability is suspect. It has been to the dealership 4 times in 4 months for two intermitent problems (antilock brakes and the radio). No resolution for the second problem yet. The dealer has not been able to fix the problem without keeping the car for a week at a time. Bottom line: Don't make my mistake, buy Japanese.     ","[('trunk space', 'space')]",['Now regret'],"[['like', 'bought', 'car'], ['one'], ['child'], ['sedan', 'sport'], ['nt'], ['second'], ['car'], ['take']]","[('sport sedan', 'sedan'), ('gas mileage', 'mileage'), ('antilock brakes', 'brakes')]","['true sport sedan', 'sized person', 'Bottom line', 'intermitent problems', 'first bought', 'back seat', 'second problem', 'normal person', 'able to fix']",neg
 on 01/04/08 21:20 PM (PST),Sheldon Rabin ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),"Volvo S60R, 2006"," This S60R has had chronic suspension and alignment problems such that all 4 tires were cupped after 6000 miles. Of the 4 tires, the right-rear tire has the worst cupping.  Attempts by the dealer to fix problem were not initially pursued and are now reluctantly pursued. Ongoing",3.875,"Volvo S60R, 2006 This S60R has had chronic suspension and alignment problems such that all 4 tires were cupped after 6000 miles. Of the 4 tires, the right-rear tire has the worst cupping.  Attempts by the dealer to fix problem were not initially pursued and are now reluctantly pursued. Ongoing",[],"['worst cupping', 'right tire', 'rear tire']","[['nt', 'miles'], ['nt']]","[('alignment problems', 'problems')]","['reluctantly pursued', 'chronic suspension', 'initially pursued']",neg
 on 11/14/06 10:58 AM (PST),Everything I wanted  ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),Everything I wanted," This car turned out to be all that and then some. A coworker owned one, but it wasn't until I saw it in Titanium Metallic that I had to buy it. Drop dead looks, in between size, uncommon ( you don't see yourself coming and going)",4.75,"Everything I wanted This car turned out to be all that and then some. A coworker owned one, but it wasn't until I saw it in Titanium Metallic that I had to buy it. Drop dead looks, in between size, uncommon ( you don't see yourself coming and going)",[],['dead looks'],"[['nt', 'car'], ['nt', 'work', 'one']]",[],[],neg
 on 11/05/06 22:50 PM (PST),FastCar ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),Discreet Fun," I looked at BMW, Audi, and MB, and by far the best power/quality/features combination for the money was the S60R.  The car performs at its best with quality 93 octane gasoline.  By quality I mean from Shell, Exxon, Chevron, etc., not Texaco, Citgo, etc.  Any low quality gas or under 93 octane and you will have a non turbo S60 2.5L.  Also, it is important to have the foot on the entire accelerator pedal for best results. City driving and hard acceleration now and then, yields 21-22 mpg.  Almost nobody knows what is under the hood, so it is fun to see other drivers trying to race you from light to light and being left behind every single time.",4.75,"Discreet Fun I looked at BMW, Audi, and MB, and by far the best power/quality/features combination for the money was the S60R.  The car performs at its best with quality 93 octane gasoline.  By quality I mean from Shell, Exxon, Chevron, etc., not Texaco, Citgo, etc.  Any low quality gas or under 93 octane and you will have a non turbo S60 2.5L.  Also, it is important to have the foot on the entire accelerator pedal for best results. City driving and hard acceleration now and then, yields 21-22 mpg.  Almost nobody knows what is under the hood, so it is fun to see other drivers trying to race you from light to light and being left behind every single time.","[('quality gas', 'gas'), ('City driving', 'driving')]","['low quality', 'hard acceleration', 'non turbo']","[['one'], ['car'], ['etc'], ['etc'], ['nt'], ['drive', 'now']]","[('features combination', 'combination'), ('octane gasoline', 'gasoline'), ('accelerator pedal', 'pedal')]","['best features combination', 'single time', 'other drivers', 'entire accelerator pedal', 'best results']",neg
 on 08/06/05 19:37 PM (PDT),TTRx ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),Wow Fast Euro on the Cheap., 300 HP with a very stealth look.  Makes the Nissan 265 HP Commercial look slow.  I have had the car for a few weeks and can not overstate how great the fit and finish is.  The first choice was safety (has too many airbags to list) and getting great performance what a bonus!  I might look at the xc90 to replace my BMW X5!,4.375,Wow Fast Euro on the Cheap. 300 HP with a very stealth look.  Makes the Nissan 265 HP Commercial look slow.  I have had the car for a few weeks and can not overstate how great the fit and finish is.  The first choice was safety (has too many airbags to list) and getting great performance what a bonus!  I might look at the xc90 to replace my BMW X5!,[],"['very stealth look', 'stealth look']","[['car', 'great'], ['great']]","[('BMW X5', 'X5')]","['first choice', 'great performance', 'few weeks', 'many airbags', 'too many airbags']",neg
 on 02/11/18 14:08 PM (PST),andy ,2006 Volvo S60 Sedan 2.5T 4dr Sedan AWD (2.5L 5cyl Turbo 5A),"Good performance, bad steering"," This car looks great and performs great. The turbo gives a good boost of power for merging. The steering radius isn't awful but isn't good. You need to get used to having to turn the wheel more if you are transitioning from another car. It isn't terrible for making turns, etc., but for avoiding potholes and such you will need to jerk your wheel more. It isn't instant response like expected. The interior feels pretty high quality. It rattles a bit in my car and some carpeting on the front pillars are peeling off, but I attribute that to the age. There are strange decisions like how the back seats don't have door pockets, and the anti whiplash headrests for the front seats are too tall to give backseat passengers a good view out the front which is lame. There is little backseat legroom, but it's not absolutely awful. There are interesting features like auto folding back headrests, and an additional two cupholders if you unlatch the cupholder part of the center console (that's 2 cupholders in front + 2 extra cupholders in front + 2 in rear). There is some cheapness like if your model does not come with foglamps, the buttons are still there and there are cutouts for fog lamps on the outside which are empty. The controls could be less confusing. The radio is just unnecessarily complex and climate controls are unnecessarily complex, but once you figure them out it isn't too bad. I don't like how there is no knob to adjust radio stations, just an auto scan button. The volume knob on my vehicle is broken, but the steering wheel has them built in which is nice. Still surprising it broke. The non-premium sound system sucks. There is barely any base or clarity, and my 18 year old Buick Century's stereo was 4x better with stock stereo (until it blew). Very disappointing. The leather seats are really comfortable and you get a lot of adjustments including lumbar support for front, and they don't look too bad for the age (just a few aesthetic cracks). I don't understand how the trunk really works. Sometimes pressing on the handle to unlatch the trunk works, sometimes it doesn't. I do not like how when you unlock the car it doesn't flash the lights. The key fob will work from afar but you can never tell if it really unlocked, but it has a neat remote light activation feature. The headlights will turn off if the car is off regardless of the knob position, and can't be manually turned back on as far as I can tell. Only the high beams work when off. It isn't a big deal, but it's a strange decision. The headlights/tail lights should stay on and turn off automatically after a few minutes for safety in my opinion. The glovebox is too small, and the center console storage is deep but not long enough. The wiper controls don't make a ton of sense. You have several positions for the wiper stalk, custom speed position where you use the knob to adjust speed, low speed preset position, and high speed preset position. It appears to make sense once you learn it, but the custom speed position sets a max wiper speed and you must use the low speed or high speed preset if you need it faster than what the wiper speed is when the knob is turned as far as it can go. I don't like how the windshields are designed. They are ""set into"" the car. That is, they have a raised border on the left and right edges, so removing snow is a pain because the snow gets stuck on the edges. The door handles are the old design and can freeze, although the doors on this car are pretty well designed because they don't really freeze. I do not like how the access door to the trunk from the backseat is designed. The release button for the trunk access door is in the trunk, and it opens into the rear seat instead of into the trunk, covering the armrest when it is down. And if you need to close the armrest, you need to close the trunk access door too and you can't unlatch it again without going into the trunk. The trunk has pretty good space, by the way. For a car all about safety, I'm surprised foglights, tire pressure sensors, and stability control aren't standard, although there is a plethora of air bags and neat anti-whiplash front seats. By the way, the car is pretty safe, although it is not as safe in side impacts as some other non-safety-centric cars of the same era ironically. Repairs are probably expensive, but this car seems to have an okay if not good reputation for reliability.",4.0,"Good performance, bad steering This car looks great and performs great. The turbo gives a good boost of power for merging. The steering radius isn't awful but isn't good. You need to get used to having to turn the wheel more if you are transitioning from another car. It isn't terrible for making turns, etc., but for avoiding potholes and such you will need to jerk your wheel more. It isn't instant response like expected. The interior feels pretty high quality. It rattles a bit in my car and some carpeting on the front pillars are peeling off, but I attribute that to the age. There are strange decisions like how the back seats don't have door pockets, and the anti whiplash headrests for the front seats are too tall to give backseat passengers a good view out the front which is lame. There is little backseat legroom, but it's not absolutely awful. There are interesting features like auto folding back headrests, and an additional two cupholders if you unlatch the cupholder part of the center console (that's 2 cupholders in front + 2 extra cupholders in front + 2 in rear). There is some cheapness like if your model does not come with foglamps, the buttons are still there and there are cutouts for fog lamps on the outside which are empty. The controls could be less confusing. The radio is just unnecessarily complex and climate controls are unnecessarily complex, but once you figure them out it isn't too bad. I don't like how there is no knob to adjust radio stations, just an auto scan button. The volume knob on my vehicle is broken, but the steering wheel has them built in which is nice. Still surprising it broke. The non-premium sound system sucks. There is barely any base or clarity, and my 18 year old Buick Century's stereo was 4x better with stock stereo (until it blew). Very disappointing. The leather seats are really comfortable and you get a lot of adjustments including lumbar support for front, and they don't look too bad for the age (just a few aesthetic cracks). I don't understand how the trunk really works. Sometimes pressing on the handle to unlatch the trunk works, sometimes it doesn't. I do not like how when you unlock the car it doesn't flash the lights. The key fob will work from afar but you can never tell if it really unlocked, but it has a neat remote light activation feature. The headlights will turn off if the car is off regardless of the knob position, and can't be manually turned back on as far as I can tell. Only the high beams work when off. It isn't a big deal, but it's a strange decision. The headlights/tail lights should stay on and turn off automatically after a few minutes for safety in my opinion. The glovebox is too small, and the center console storage is deep but not long enough. The wiper controls don't make a ton of sense. You have several positions for the wiper stalk, custom speed position where you use the knob to adjust speed, low speed preset position, and high speed preset position. It appears to make sense once you learn it, but the custom speed position sets a max wiper speed and you must use the low speed or high speed preset if you need it faster than what the wiper speed is when the knob is turned as far as it can go. I don't like how the windshields are designed. They are ""set into"" the car. That is, they have a raised border on the left and right edges, so removing snow is a pain because the snow gets stuck on the edges. The door handles are the old design and can freeze, although the doors on this car are pretty well designed because they don't really freeze. I do not like how the access door to the trunk from the backseat is designed. The release button for the trunk access door is in the trunk, and it opens into the rear seat instead of into the trunk, covering the armrest when it is down. And if you need to close the armrest, you need to close the trunk access door too and you can't unlatch it again without going into the trunk. The trunk has pretty good space, by the way. For a car all about safety, I'm surprised foglights, tire pressure sensors, and stability control aren't standard, although there is a plethora of air bags and neat anti-whiplash front seats. By the way, the car is pretty safe, although it is not as safe in side impacts as some other non-safety-centric cars of the same era ironically. Repairs are probably expensive, but this car seems to have an okay if not good reputation for reliability.","[('sound system', 'system'), ('wiper stalk', 'stalk'), ('custom speed', 'speed'), ('speed position', 'position'), ('ad speed', 'speed'), ('speed preset', 'preset'), ('preset position', 'position'), ('custom speed', 'speed'), ('speed position', 'position'), ('max speed', 'speed'), ('wiper speed', 'speed'), ('wiper speed', 'speed')]","['low custom ad custom max wiper wiper speed', 'several ad custom max wiper wiper speed preset max wiper wiper speed positions', 'is have', 'turned far', 'left edges', 'non sound system', 'backseat legroom', 'high custom ad custom max wiper wiper speed', 'premium sound', 'need faster', 'little legroom', 'jerk more']","[['car', 'great'], ['good', 'give'], ['good'], ['car'], ['etc'], ['nt', 'like'], ['nt'], ['nt', 'car'], ['nt', 'like', 'good', 'range', 'give'], ['nt', 'like'], ['like', 'come'], ['nt'], ['nt'], ['like'], ['vehicle'], ['nt', 'year'], ['nt'], ['nt'], ['work'], ['work'], ['like', 'car'], ['work'], ['car'], ['work'], ['range'], ['minute'], ['nt', 'love'], ['nt'], ['like'], ['nt', 'car'], ['car'], ['like'], ['nt'], ['nt'], ['good'], ['nt', 'car'], ['nt', 'car'], ['good', 'car']]","[('steering radius', 'radius'), ('door pockets', 'pockets'), ('whiplash headrests', 'headrests'), ('cupholder part', 'part'), ('center console', 'console'), ('t cutouts', 'cutouts'), ('fog lamps', 'lamps'), ('ad stations', 'stations'), ('radio stations', 'stations'), ('auto scan', 'scan'), ('scan button', 'button'), ('volume knob', 'knob'), ('steering wheel', 'wheel'), ('stock stereo', 'stereo'), ('lumbar support', 'support'), ('knob position', 'position'), ('tail lights', 'lights'), ('center storage', 'storage'), ('console storage', 'storage'), ('wiper controls', 'controls'), ('access door', 'door'), ('release button', 'button'), ('trunk access', 'access'), ('access door', 'door'), ('trunk access', 'access'), ('access door', 'door'), ('tire pressure', 'pressure'), ('pressure sensors', 'sensors'), ('stability control', 'control'), ('air bags', 'bags'), ('side impacts', 'impacts')]","['manually turned', 'few minutes', 'few cracks', 'neat seats', 'strange decision', 'turn automatically', 'front pillars', 'back seats', 'old design', 'well designed', 'turned far', 'strange decisions', 'good space', 'stay on', 'Sometimes pressing', 'extra cupholders', 'close too', 'pretty high quality', 'big deal', 'anti seats', 'non cars', 'centric cars', 'neat activation', 'really freeze', 'anti whiplash headrests', 'turned back', 'never tell', 'additional cupholders', 'instant response', 'front seats', 'surprised fogtail lights', 'remote activation', 'high beams', 'bad steering', 'aesthetic cracks', 'pretty good space', 'okay reputation', 'really works', 'really unlocked', 'key fob', 'high quality', 'rear seat', 'other cars', 'good view', 'same era', 'turn more', 'Good performance', 'sometimes does', 'good boost', 'good reputation', 'interesting features']",neg
 on 07/03/16 11:33 AM (PDT),"safety proved itself, unfortunately ",2006 Volvo S60 Sedan 2.5T 4dr Sedan (2.5L 5cyl Turbo 5A),GREAT RIDE...DEPENDABLE," My Volvo 940 sedan was 20 years old @330,000 miles, and the final decision to retire it was not passing the Smog Test w/o $. So, being that Volvo had me impressed, I found a very low mileage S60 (depreciation and parking lot door dings were decision metrics) and jumped on it. This car has been amazing. Not one day has gone by that I regret it. It's sporty, fast, and rides like a glider. It's roomy, comfortable, and so far, just the consumables. Yeah, BMW might have the status, but I'm really happy with my Volvo S60. THIS IS A REVISION in lieu of my accident post. UPDATE: Jan 2018- Still in LOVE w/ my S60. The headlight replacement is a tight area to work w/ but hubby invented a tool to make it easier. Also, should you own  a black vehicle (like my S60) and you scratch the paint, a permanent marker and car wax will work, or black nail polish and a clear nail polish, depending on the depth of the scratch. My S60 has been terrific, and we're still having an ""affair"".SYNOPSIS of original postThis car was hit my another vehicle that lost control do to flip flops getting suck on the accelerator, and I thought my car was totaled, but to my surprise,  just bumper and panel damage. I was surprised how well this vehicle did. I saw the Camry wrapped around a tree (she was lucky-alright), the stop sign down, and the violent hit my vehicle took, and the minimal damage, and my elderly mother and I had no injuries. Truly, this car did amazing. This is the only time in my 23 Volvo brand  history, I had to find out, and this was not a minor accident to other vehicles. BTW, Volvo created the collapsing zones in vehicles. Great engineering and what a safe car. Now granted, physics  played a role.",5.0,"GREAT RIDE...DEPENDABLE My Volvo 940 sedan was 20 years old @330,000 miles, and the final decision to retire it was not passing the Smog Test w/o $. So, being that Volvo had me impressed, I found a very low mileage S60 (depreciation and parking lot door dings were decision metrics) and jumped on it. This car has been amazing. Not one day has gone by that I regret it. It's sporty, fast, and rides like a glider. It's roomy, comfortable, and so far, just the consumables. Yeah, BMW might have the status, but I'm really happy with my Volvo S60. THIS IS A REVISION in lieu of my accident post. UPDATE: Jan 2018- Still in LOVE w/ my S60. The headlight replacement is a tight area to work w/ but hubby invented a tool to make it easier. Also, should you own  a black vehicle (like my S60) and you scratch the paint, a permanent marker and car wax will work, or black nail polish and a clear nail polish, depending on the depth of the scratch. My S60 has been terrific, and we're still having an ""affair"".SYNOPSIS of original postThis car was hit my another vehicle that lost control do to flip flops getting suck on the accelerator, and I thought my car was totaled, but to my surprise,  just bumper and panel damage. I was surprised how well this vehicle did. I saw the Camry wrapped around a tree (she was lucky-alright), the stop sign down, and the violent hit my vehicle took, and the minimal damage, and my elderly mother and I had no injuries. Truly, this car did amazing. This is the only time in my 23 Volvo brand  history, I had to find out, and this was not a minor accident to other vehicles. BTW, Volvo created the collapsing zones in vehicles. Great engineering and what a safe car. Now granted, physics  played a role.","[('parking lot', 'lot'), ('door dings', 'dings'), ('dings metrics', 'metrics'), ('decision metrics', 'metrics'), ('LOVE w/', 'w/')]","['low mileage', 'still having', 'very low mileage', 'So found']","[['miles', 'year', 'sedan'], ['car'], ['one'], ['like', 'sport'], ['nt'], ['nt', 'work', 'hubby'], ['nt', 'like', 'vehicle', 'car', 'work'], ['nt', 'vehicle', 'car'], ['vehicle'], ['nt', 'vehicle'], ['car'], ['nt', 'vehicle'], ['vehicle', 'one'], ['car'], ['nt']]","[('accident post', 'post'), ('nail polish', 'polish'), ('nail polish', 'polish'), ('panel damage', 'damage'), ('Volvo history', 'history'), ('brand history', 'history')]","['old miles', 'Now granted', 'only time', 'permanent wax', 'Also own', 'original car', 'final decision', 'black vehicle', '@330,000 miles', 'headlight replacement', 'minimal panel damage', 'safe car', 'Truly did', 'black nail nail polish', 'Great engineering', 'tight area', 'elderly mother', 'BTW created', 'minor accident', 'clear nail nail polish', 'other vehicles']",neg
 on 09/25/06 00:54 AM (PDT),GabbyGirl ,2006 Volvo S60 Sedan 2.5T 4dr Sedan (2.5L 5cyl Turbo 5A),Love It!," I absolutely love my car. As soon as I set foot in it, I knew it was meant for me. I stopped my search immediately. It drives wonderfully and I feel so safe in it. Also, the people at Volvo are so helpful and on top of it. From the dealership to the customer service phone line, they have impeccable service. Overall, I am extremely happy with my purchase of this car.",4.75,"Love It! I absolutely love my car. As soon as I set foot in it, I knew it was meant for me. I stopped my search immediately. It drives wonderfully and I feel so safe in it. Also, the people at Volvo are so helpful and on top of it. From the dealership to the customer service phone line, they have impeccable service. Overall, I am extremely happy with my purchase of this car.",[],['stopped immediately'],"[['car', 'love'], ['nt', 'new'], ['drive'], ['people'], ['one'], ['car']]","[('customer service', 'service'), ('service line', 'line'), ('phone line', 'line')]","['drives wonderfully', 'soon knew', 'absolutely love', 'impeccable customer service']",neg
 on 06/03/06 09:24 AM (PDT),Cable knit sweater ,2006 Volvo S60 Sedan 2.5T 4dr Sedan (2.5L 5cyl Turbo 5A),....good value," When the lease on my Saab 9-3 recently expired I researched available replacements. The ""usual suspects"" from Japan, Germany and Sweden....  The Volvo S-60T met my needs.  We have owned 3 Volvos in the past and have been satisfied.  The combination of features, adding the Luxury and Sport packages, and price incentives at the time of lease,  were not matched by the competition. Front seat comfort is exemplary , rear seat legroom is tight, though the seats themselves are comfortable.  The handling is excellent, ride comfortable and fit and finish is flawless. After one month I am thoroughly satisfied.",5.0,"....good value When the lease on my Saab 9-3 recently expired I researched available replacements. The ""usual suspects"" from Japan, Germany and Sweden....  The Volvo S-60T met my needs.  We have owned 3 Volvos in the past and have been satisfied.  The combination of features, adding the Luxury and Sport packages, and price incentives at the time of lease,  were not matched by the competition. Front seat comfort is exemplary , rear seat legroom is tight, though the seats themselves are comfortable.  The handling is excellent, ride comfortable and fit and finish is flawless. After one month I am thoroughly satisfied.",[],['usual suspects'],"[['nt', 'good'], ['nt'], ['nt'], ['nt'], ['nt', 'one']]","[('price incentives', 'incentives'), ('seat comfort', 'comfort'), ('seat legroom', 'legroom')]","['good value', 'rear seat', 'recently expired', 'Front seat comfort', 'available replacements']",neg
 on 01/25/09 01:17 AM (PST),Joshua ,2004 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),Best Sleeper Ever," I love my car. Without effort it hurls itself past other traffic. It stops quickly (very) and straight. It will plow snow out of your way (not deep snow mind you, but it was still impressive to trundle through a 1/4 mile of 6-8"" deep snow without issue).  It (literally) drove where a well driven Dodge Ram 4x4 with weight in the back could not. If you know where your car is, you won't hit those bits of concrete when you park.. No matter what you do the turning radius stinks, and if someone gives the rims a funny look it'll leave a mark. It is a beautiful car in person.  Drive one and I suspect you'll get one.",4.75,"Best Sleeper Ever I love my car. Without effort it hurls itself past other traffic. It stops quickly (very) and straight. It will plow snow out of your way (not deep snow mind you, but it was still impressive to trundle through a 1/4 mile of 6-8"" deep snow without issue).  It (literally) drove where a well driven Dodge Ram 4x4 with weight in the back could not. If you know where your car is, you won't hit those bits of concrete when you park.. No matter what you do the turning radius stinks, and if someone gives the rims a funny look it'll leave a mark. It is a beautiful car in person.  Drive one and I suspect you'll get one.",[],"['deep s', 'stops very', 'stops quickly', 'other traffic']","[['car', 'love'], ['drive'], ['car'], ['one', 'give'], ['car'], ['one']]","[('radius stinks', 'stinks')]","['funny look', 'beautiful car', 'matter leave', 'Ever love', 'well driven', 'literally drove']",neg
