Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating,Full Review,compound_nouns,aspect_keywords,competition,competition_comp_nouns,competition_aspects,sentiment
 on 05/16/12 11:58 AM (PDT),2xvolvoowner ,2008 Volvo S60 Sedan 2.5T 4dr Sedan (2.5L 5cyl Turbo 5A),Double trouble," We own both the XC90 and S60and have been frustrated with both vehicles.Both have seen more than their fair share of the service department and the lack of concern from Volvo has been discouraging.In two years of the S60, we have had to replace the ignition switches twice. The emergency cable never really engaged properly so it had to be adjusted as well as the sunroof at a cost. A faulty ABS contact reeel and front axle shaft had to be replaced due to recalls. The headlight washer fell off and had to be replaced twice. As if we didnÂt feel nickeled and dimed already, we now have to replace the Fire Trap Housing not covered on the warranty. We are very disappointed.",3.125,"Double trouble We own both the XC90 and S60and have been frustrated with both vehicles.Both have seen more than their fair share of the service department and the lack of concern from Volvo has been discouraging.In two years of the S60, we have had to replace the ignition switches twice. The emergency cable never really engaged properly so it had to be adjusted as well as the sunroof at a cost. A faulty ABS contact reeel and front axle shaft had to be replaced due to recalls. The headlight washer fell off and had to be replaced twice. As if we didnÂt feel nickeled and dimed already, we now have to replace the Fire Trap Housing not covered on the warranty. We are very disappointed.","[('emergency cable', 'cable')]","['headlight washer', 'really engaged', 'engaged properly', 'never engaged', 'replaced twice']","[['vehicle'], ['nt'], ['year'], ['nt'], ['nt'], ['nt']]","[('service department', 'department'), ('ignition switches', 'switches'), ('ABS contact', 'contact'), ('contact reeel', 'reeel'), ('axle shaft', 'shaft')]","['fair sh', 'faulty contact reeel', 'Double trouble', 'replace twice', 'dimed already', 'front axle shaft']",pos
 on 08/29/10 08:28 AM (PDT),aikiman ,2008 Volvo S60 Sedan 2.5T 4dr Sedan (2.5L 5cyl Turbo 5A),First Volvo," This is my first Volvo, had an Acura and Maxima before this.  I've had this car for approx 18 mos, bought it used with 9500 miles and love it.  It is built very tight and feels heavier than it is.  The turbo gives it a lot of power when merging or trying to pass. Highway driving is excellent, it definitely loves to cruise. The back seat is tight, I have  an 8 year old and 10 year old and I have to move the passenger seat and my seat forward for them.  Quality so far is fine,front headlight washers needed new motors and the computer has had to be updated once because the immobilizer would occasionally get triggered preventing it from starting.  Problem fixed but it still does it sometimes.",4.625,"First Volvo This is my first Volvo, had an Acura and Maxima before this.  I've had this car for approx 18 mos, bought it used with 9500 miles and love it.  It is built very tight and feels heavier than it is.  The turbo gives it a lot of power when merging or trying to pass. Highway driving is excellent, it definitely loves to cruise. The back seat is tight, I have  an 8 year old and 10 year old and I have to move the passenger seat and my seat forward for them.  Quality so far is fine,front headlight washers needed new motors and the computer has had to be updated once because the immobilizer would occasionally get triggered preventing it from starting.  Problem fixed but it still does it sometimes.",[],"['still does', 'does sometimes']","[['miles', 'bought', 'car', 'love'], ['give'], ['nt', 'love'], ['year'], ['nt', 'new']]","[('power merging', 'merging'), ('Highway driving', 'driving'), ('passenger seat', 'seat'), ('headlight washers', 'washers')]","['occasionally triggered', 'new motors', 'back passenger seat', 'definitely loves', 'updated once', 'front headlight washers']",pos
 on 01/15/08 16:37 PM (PST),4th volvo ,2008 Volvo S60 Sedan 2.5T 4dr Sedan AWD (2.5L 5cyl Turbo 5A),Will absence make my heart grow fonder?," This is my fourth Volvo, so I guess I am brand loyal.  The AWD is awesome.  The car is heavier than my last T5 S60, although inside it is almost identical. The drive is powerful, and the acceleration with the geartronic transmission makes the car very fun to drive.  The leather, stereo, etc., is just enough luxury for me.  Sad to say I haven't had it 2 full months and it will be in the shop already because the temperature gauge does not work and the fan will not stop.  Car currently sounds like a jet plane after starting it.",4.125,"Will absence make my heart grow fonder? This is my fourth Volvo, so I guess I am brand loyal.  The AWD is awesome.  The car is heavier than my last T5 S60, although inside it is almost identical. The drive is powerful, and the acceleration with the geartronic transmission makes the car very fun to drive.  The leather, stereo, etc., is just enough luxury for me.  Sad to say I haven't had it 2 full months and it will be in the shop already because the temperature gauge does not work and the fan will not stop.  Car currently sounds like a jet plane after starting it.",[],['enough luxury'],"[['nt', 'car'], ['drive', 'car'], ['etc'], ['nt', 'work'], ['nt', 'like']]","[('temperature gauge', 'gauge'), ('jet plane', 'plane')]","['already work', 'geartronic transmission', 'currently sounds', 'full months']",pos
 on 11/01/07 19:27 PM (PDT),Mc Mom  ,2008 Volvo S60 Sedan T5 4dr Sedan (2.4L 5cyl Turbo 5A),Not a minivan - thank goodness," This car is fun to drive and is just beautiful to look at. It's great for driving kids around, but even more fun when you get to drive it on your own. No one will ever suspect this is Mom's Taxi. This is no minivan, but has lots of room for 5 and a huge trunk. I never thought I would drive a Volvo, but my T5 is just awesome.",4.75,"Not a minivan - thank goodness This car is fun to drive and is just beautiful to look at. It's great for driving kids around, but even more fun when you get to drive it on your own. No one will ever suspect this is Mom's Taxi. This is no minivan, but has lots of room for 5 and a huge trunk. I never thought I would drive a Volvo, but my T5 is just awesome.",[],['huge trunk'],"[['drive', 'good', 'car'], ['drive', 'great'], ['one'], ['drive']]","[('thank goodness', 'goodness')]","['never thought', 'ever suspect', 'driving around']",pos
 on 12/27/11 21:49 PM (PST),mooser ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),For a Type R Personality ," In a matter of a second my fuel sipping, turbo spooling Saab, as well as my ego, plowed into a short bus.(Literally)A week later Saab went bust.After much deliberation, I picked up a 2006 S60R with a 100,000 warranty for $16k.This car is FAST and makes the noise of 1/2 a Lamborghini Gallardo. The adjustable suspension and stereo are amazing.This car does take some getting used to, however.I cannot start the engine without feeling as though it guzzled an 1/8th of a tank.The turning circle makes you think of Kirstie Alley trying to do gymnastics, when in a parking lot.Once you unleash it on the road however, all of that disappears as fast the cars in your rear view mirror.",4.5,"For a Type R Personality  In a matter of a second my fuel sipping, turbo spooling Saab, as well as my ego, plowed into a short bus.(Literally)A week later Saab went bust.After much deliberation, I picked up a 2006 S60R with a 100,000 warranty for $16k.This car is FAST and makes the noise of 1/2 a Lamborghini Gallardo. The adjustable suspension and stereo are amazing.This car does take some getting used to, however.I cannot start the engine without feeling as though it guzzled an 1/8th of a tank.The turning circle makes you think of Kirstie Alley trying to do gymnastics, when in a parking lot.Once you unleash it on the road however, all of that disappears as fast the cars in your rear view mirror.",[],['adjustable suspension'],"[['nt', 'second'], ['nt'], ['nt'], ['car'], ['car', 'take'], ['tank'], ['think'], ['car', 'road']]","[('fuel sipping', 'sipping'), ('Literally)A week', 'week'), ('Lamborghini Gallardo', 'Gallardo'), ('turning circle', 'circle'), ('parking lot', 'lot'), ('view mirror', 'mirror')]","['take however', 'much deliberation', 'short bus', 'later went', 'unleash however', 'rear view', 'disappears fast']",pos
 on 10/23/09 05:02 AM (PDT),Lynne ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),Disappointed With Car, I purchased this care when I gave my Nissan Altima to my daughter due to her car being totaled.  I am totally disappointed with the care and am trading it in after only having it for less than two years.  The turning radius is bad and the main problem is the alignment.  I have had to buy two complete new sets of tires during that period.  Last time was because I had a blowout on the highway.  The alignment has to be redesigned so it isn't so sensitive to any bumps.  Car definitely didn't live up to my expectations.,2.625,Disappointed With Car I purchased this care when I gave my Nissan Altima to my daughter due to her car being totaled.  I am totally disappointed with the care and am trading it in after only having it for less than two years.  The turning radius is bad and the main problem is the alignment.  I have had to buy two complete new sets of tires during that period.  Last time was because I had a blowout on the highway.  The alignment has to be redesigned so it isn't so sensitive to any bumps.  Car definitely didn't live up to my expectations.,[],"['Last time', 'definitely live']","[['nt', 'car'], ['nt', 'year'], ['nt'], ['new'], ['nt']]","[('turning radius', 'radius')]","['only having', 'new sets', 'main problem', 'complete sets']",pos
 on 12/19/06 19:59 PM (PST),S60R_Boy ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),Value," It's true that this car is not quite in the same league as the Audi S4, BMW M3, and Mercedes C55.  HOWEVER, for about $10,000 less than these German competitors, the Volvo S60R is an outstanding value.  I just leased a 2007 model and got an amazing deal.  A 36-month lease on an Audi S4, BMW M3, or Mercedes C55 would have cost me an additional $250 per month - not worth it in my opinion.  The value proposition presented by the S60R was hard to pass up! ",4.375,"Value It's true that this car is not quite in the same league as the Audi S4, BMW M3, and Mercedes C55.  HOWEVER, for about $10,000 less than these German competitors, the Volvo S60R is an outstanding value.  I just leased a 2007 model and got an amazing deal.  A 36-month lease on an Audi S4, BMW M3, or Mercedes C55 would have cost me an additional $250 per month - not worth it in my opinion.  The value proposition presented by the S60R was hard to pass up! ",[],"['amazing deal', 'German competitors', 'outstanding value']","[['car'], ['nt'], ['nt']]","[('month lease', 'lease'), ('value proposition', 'proposition')]","['hard to pass', 'same league']",pos
 on 09/08/06 21:50 PM (PDT),Hit-s60r ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),"Not the best, not the worst"," I was sitting at a red light Â behind 2 cars when a 27 year old woman (on the cell phone, looking over her shoulder) slammed into the back of me going 45, again I was at a dead stop.  The impact sent me into the car ahead and broke my seat (Volvo safety design, break-away front seats).  The Honda Insight which hit me square on the back bumper was totaled, and unless you looked at the rear deck of the Honda, you wouldnÂt know what it was that hit me.  The Volvo trunk, bumper was smashed back to the rear wheels and some damage was found in the bracing, not the frame.  The car wasnÂt totaled since the damage was about 24K and the value was north of 32K.  The main thing was I walked away!",4.5,"Not the best, not the worst I was sitting at a red light Â behind 2 cars when a 27 year old woman (on the cell phone, looking over her shoulder) slammed into the back of me going 45, again I was at a dead stop.  The impact sent me into the car ahead and broke my seat (Volvo safety design, break-away front seats).  The Honda Insight which hit me square on the back bumper was totaled, and unless you looked at the rear deck of the Honda, you wouldnÂt know what it was that hit me.  The Volvo trunk, bumper was smashed back to the rear wheels and some damage was found in the bracing, not the frame.  The car wasnÂt totaled since the damage was about 24K and the value was north of 32K.  The main thing was I walked away!","[('Volvo trunk', 'trunk')]","['back bumper', 'smashed back', 'main thing', 'rear wheels', 'walked away', 'rear deck']","[['nt', 'year', 'car', 'one'], ['nt', 'car'], ['car']]","[('cell phone', 'phone'), ('Volvo design', 'design'), ('safety design', 'design')]","['front seats', 'sent ahead', 'old woman', 'dead stop', 'red light']",pos
 on 06/26/06 01:03 AM (PDT),outlawez ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),Volvo S60R," Excellent car...very roomy throughout the front seats, rear seating could be larger.  Safety features on this car are top-notch.  When considering a safe, fun four door nothing else compares.",5.0,"Volvo S60R Excellent car...very roomy throughout the front seats, rear seating could be larger.  Safety features on this car are top-notch.  When considering a safe, fun four door nothing else compares.",[],"['fun door', 'safe door']","[['nt', 'car'], ['nt'], ['car']]","[('Excellent car', 'car'), ('Safety features', 'features')]","['front seats', 'rear seating', 'top notch']",pos
 on 05/19/06 19:20 PM (PDT),spinner ,2006 Volvo S60 R R 4dr Sedan AWD (2.5L 5cyl Turbo 6M),Jack of All Trades," I wanted a performance car, but my wife said I had to get a sedan.  I initially looked at an STI, but figured I'd need a kidney transplant after a long trip.  I'd never heard of the S60R, but when I learned about it, I found it fit my lifestyle to a ""T"".  It's a sports car when I want it to be, and a people hauler when it needs to be.  The trunk is surprisingly large.  Passengers can't stop commenting on how supple the leather is.  I can't wait to go to work in the morning because I get to drive my car there.  I bet it'd be a kick on the racetrack...on/off ramps are a hoot.  This is the best car I've ever owned.  Almost as fast an S4 for 10-15 grand less.",4.625,"Jack of All Trades I wanted a performance car, but my wife said I had to get a sedan.  I initially looked at an STI, but figured I'd need a kidney transplant after a long trip.  I'd never heard of the S60R, but when I learned about it, I found it fit my lifestyle to a ""T"".  It's a sports car when I want it to be, and a people hauler when it needs to be.  The trunk is surprisingly large.  Passengers can't stop commenting on how supple the leather is.  I can't wait to go to work in the morning because I get to drive my car there.  I bet it'd be a kick on the racetrack...on/off ramps are a hoot.  This is the best car I've ever owned.  Almost as fast an S4 for 10-15 grand less.",[],['never heard'],"[['nt', 'car', 'sedan', 'wife'], ['nt'], ['nt', 'car', 'people', 'sport'], ['nt'], ['drive', 'car', 'work'], ['car']]","[('performance car', 'car'), ('kidney transplant', 'transplant'), ('sports car', 'car')]","['initially looked', 'best performance sports car', 'long trip', 'drive there', 'ever owned']",pos
