Review_Date,Author_Name,Vehicle_Title,Review_Title,Review,Rating,Full Review,compound_nouns,aspect_keywords,competition,competition_comp_nouns,competition_aspects,sentiment
 on 07/07/10 05:28 AM (PDT),carlo frazzano ,2007 Volkswagen New Beetle Convertible 2.5 PZEV 2dr Convertible (2.5L 5cyl 6A),Quality Review, We bought the car new in 2007 and are generally satisfied. Mechanically the car has been good but build quality needs improvement except for the paint job which is the best I have ever seen.  Problems we have had are: 1. Three headlight bulbs replaced. 2. Entire locking mechanism for power convertible top had to be replaced. 3. Coolant temperature switch replaced. 4. Four trunk pistons failed with the fifth now broken. 5. Seat belt retainer bezel broken off and replaced.  Fuel mileage is average that is 25 around town - less if air running and about 30 mpg at 65 mph if air not running.  Trunk space is inadequate and simple repair under the hood is difficult and expensive.,4.375,Quality Review We bought the car new in 2007 and are generally satisfied. Mechanically the car has been good but build quality needs improvement except for the paint job which is the best I have ever seen.  Problems we have had are: 1. Three headlight bulbs replaced. 2. Entire locking mechanism for power convertible top had to be replaced. 3. Coolant temperature switch replaced. 4. Four trunk pistons failed with the fifth now broken. 5. Seat belt retainer bezel broken off and replaced.  Fuel mileage is average that is 25 around town - less if air running and about 30 mpg at 65 mph if air not running.  Trunk space is inadequate and simple repair under the hood is difficult and expensive.,"[('headlight bulbs', 'bulbs'), ('trunk pistons', 'pistons'), ('Seat belt', 'belt'), ('belt retainer', 'retainer'), ('retainer bezel', 'bezel'), ('Fuel mileage', 'mileage'), ('Trunk space', 'space')]",['inadequate repair'],"[['bought', 'car', 'new'], ['nt', 'good', 'car'], ['nt', 'convertible', 'conv'], ['nt']]","[('quality needs', 'needs'), ('needs improvement', 'improvement'), ('paint job', 'job'), ('power top', 'top'), ('Coolant switch', 'switch'), ('temperature switch', 'switch')]","['ever seen', 'Entire mechanism', 'convertible power top']",neg
 on 10/19/09 21:41 PM (PDT),NewBeetleDriver ,2007 Volkswagen New Beetle Convertible Triple White PZEV 2dr Convertible (2.5L 5cyl 6A),Adore it," I adore my New Beetle. Even though I'm a male, I get compliments from my other guy friends, especially after they've driven it. Convertible a must! The only problem I've had was the wiring harness shorted. Fortunately, the car is still under warranty, and will be back to running soon!",4.375,"Adore it I adore my New Beetle. Even though I'm a male, I get compliments from my other guy friends, especially after they've driven it. Convertible a must! The only problem I've had was the wiring harness shorted. Fortunately, the car is still under warranty, and will be back to running soon!","[('wiring harness', 'harness')]",['only problem'],"[['drive', 'nt'], ['nt', 'car']]","[('guy friends', 'friends')]","['especially driven', 'other guy friends', 'running soon']",neg
 on 07/19/16 06:27 AM (PDT),bmccoy ,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 6A),yellow bug, this is one of the best cars I have owned.  Loads of pep and manuvervability      I am downsizing our number vehicles.  Really hate to sell but  need to be practical.,5.0,yellow bug this is one of the best cars I have owned.  Loads of pep and manuvervability      I am downsizing our number vehicles.  Really hate to sell but  need to be practical.,[],['Really hate'],"[['car', 'one'], ['vehicle']]","[('number vehicles', 'vehicles')]","['yellow bug', 'best cars']",neg
 on 09/04/13 12:00 PM (PDT),eliteboi ,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 5M),My second New Beetle not as good as the first," I previously owned a 2000 New Beetle 1.8T. That car was GREAT. It gave me very few problems, and it never left me stranded. One of the worse mistakes I have made. I've had lots of stupid problems come up. I bought the car with 68k miles, and all service records. I had no warning and the water pump went out, at 68.5k. Replaced two wheel bearings, the tie rods, the door speaker. I could go on. I have had this car a little over a year. The best part was when the inner axle snapped getting off the highway. I think my car must be a lemon. It is getting harder and harder to justify keeping it.My car looks great, but it doesn't perform half as well as my 2000 did, which had twice the miles.",3.125,"My second New Beetle not as good as the first I previously owned a 2000 New Beetle 1.8T. That car was GREAT. It gave me very few problems, and it never left me stranded. One of the worse mistakes I have made. I've had lots of stupid problems come up. I bought the car with 68k miles, and all service records. I had no warning and the water pump went out, at 68.5k. Replaced two wheel bearings, the tie rods, the door speaker. I could go on. I have had this car a little over a year. The best part was when the inner axle snapped getting off the highway. I think my car must be a lemon. It is getting harder and harder to justify keeping it.My car looks great, but it doesn't perform half as well as my 2000 did, which had twice the miles.","[('wheel bearings', 'bearings'), ('tie rods', 'rods'), ('door speaker', 'speaker')]","['best part', 'few problems', 'inner axle', 'very few problems', 'never left']","[['good', 'second'], ['car'], ['take'], ['come'], ['miles', 'bought', 'car'], ['nt'], ['year', 'car'], ['car', 'think', 'lemon'], ['miles', 'car', 'great']]","[('68k miles', 'miles'), ('service records', 'records'), ('water pump', 'pump')]","['previously owned', 'stupid problems', 'worse mistakes']",neg
 on 08/15/09 09:35 AM (PDT),nlinldsey ,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 6A),Love it!," This was my 2nd Beetle and I absolutely love this car! I recently sold mine since my family needs space. The car is very sturdy and well-built. I was impressed with how well it handled in stormy weather on the interstate. I also loved the space once the back seat folds down. It was spacious enough for my 75 pound Lab in her cage. I never experienced mechanical problems with it. My only complaint was the oil change would cost me $70 or more. This car requires Synthetic oil, which is more expensive than regular oil. ",5.0,"Love it! This was my 2nd Beetle and I absolutely love this car! I recently sold mine since my family needs space. The car is very sturdy and well-built. I was impressed with how well it handled in stormy weather on the interstate. I also loved the space once the back seat folds down. It was spacious enough for my 75 pound Lab in her cage. I never experienced mechanical problems with it. My only complaint was the oil change would cost me $70 or more. This car requires Synthetic oil, which is more expensive than regular oil. ","[('pound Lab', 'Lab')]","['mechanical problems', 'never experienced']","[['nt', 'car', 'love'], ['car'], ['nt'], ['love'], ['nt'], ['nt', 'car']]","[('oil change', 'change')]","['stormy weather', 'Synthetic oil', 'well built', 'regular oil', 'only complaint', 'back seat', 'recently sold', 'absolutely love']",neg
 on 02/15/09 17:58 PM (PST),Kshobe ,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 6A),Would buy another," I drove the car from Arizona to Mississippi and back. I got 24 to 30 MPG on the trip driving at an average speed of 75MPH on the interstate. I get 23 - 24 MPG driving around Phoenix on a daily basis.  I love the torque. It is hard not to spin the tires from a full stop. I get some strange looks from the Mustang owners when that happens. I am 6'3"" and have lots of head room but I had to remove the center arm rest to make room for my elbows. Now there is a big hole in the console but I'm comfortable. The road noise is the one thing I wish was better. Thankfully Phoenix put rubberized asphalt on all the freeways. It is very fun to drive. ",4.625,"Would buy another I drove the car from Arizona to Mississippi and back. I got 24 to 30 MPG on the trip driving at an average speed of 75MPH on the interstate. I get 23 - 24 MPG driving around Phoenix on a daily basis.  I love the torque. It is hard not to spin the tires from a full stop. I get some strange looks from the Mustang owners when that happens. I am 6'3"" and have lots of head room but I had to remove the center arm rest to make room for my elbows. Now there is a big hole in the console but I'm comfortable. The road noise is the one thing I wish was better. Thankfully Phoenix put rubberized asphalt on all the freeways. It is very fun to drive. ",[],"['rubberized asphalt', 'daily basis', 'big hole', 'full stop']","[['car'], ['nt'], ['love'], ['range'], ['nt'], ['one', 'road'], ['drive']]","[('Mustang owners', 'owners'), ('head room', 'room'), ('center rest', 'rest'), ('arm rest', 'rest'), ('road noise', 'noise')]","['strange looks', 'drove back', 'average speed']",neg
 on 05/14/08 08:59 AM (PDT),Phil ,2007 Volkswagen New Beetle Hatchback 2.5 PZEV 2dr Hatchback (2.5L 5cyl 6A),I'm in Love..! Could be a race car..," Love the Laser Blue color.!!  This Beetle is much peppier than the old 2004 - 4 cylinder engine.  Only drawback is when you drive fast you get 20 to 23 MPG in the city.  The heated seats are the best new feature.!  I wish the visors were wider or perhaps extended longer because they don't block side sun glare very well.  The comfort is great, and the room is great.  I have hauled a lot of stuff in this little car.  My only other request is to make this car a hybrid.  I have gotten 34 MPG highway using speed control.  I beat an Austin Mini Cooper in a drag race and matched a Corvette for the first 50 yards, so this car is FAST.!  Thanks VW for a car more fun than my 2004 New Beetle.!",4.75,"I'm in Love..! Could be a race car.. Love the Laser Blue color.!!  This Beetle is much peppier than the old 2004 - 4 cylinder engine.  Only drawback is when you drive fast you get 20 to 23 MPG in the city.  The heated seats are the best new feature.!  I wish the visors were wider or perhaps extended longer because they don't block side sun glare very well.  The comfort is great, and the room is great.  I have hauled a lot of stuff in this little car.  My only other request is to make this car a hybrid.  I have gotten 34 MPG highway using speed control.  I beat an Austin Mini Cooper in a drag race and matched a Corvette for the first 50 yards, so this car is FAST.!  Thanks VW for a car more fun than my 2004 New Beetle.!","[('Blue color', 'color'), ('cylinder engine', 'engine'), ('side sun', 'sun')]","['perhaps extended', 'block well', 'extended longer', 'old cylinder engine']","[['car'], ['drive'], ['new'], ['great'], ['car'], ['car'], ['nt'], ['car'], ['car']]","[('race car', 'car'), ('MPG highway', 'highway'), ('speed control', 'control'), ('drag race', 'race')]","['new feature', 'only request', 'first yards', 'drive fast', 'little drag race car', 'other request', 'best feature', 'heated seats']",neg
 on 08/15/07 10:51 AM (PDT),Don't get excited ,2007 Volkswagen New Beetle Hatchback 2.5 2dr Hatchback (2.5L 5cyl 6A),Not worth it in the long run," A car is supposed to be a reliable transportartion and reliable it is not.  Too many trips to the service department, too many recalls, too many service lights coming on worrying me about even more problems.  I see likewise frustrated people at the service counter everytime I come in. I'm charged an arm and a leg every time, without a guarantee that the fix will work.  A 10 year old KIA has had no problems.  I got too excited about aesthetics of it.  But the features don't work and have to be repeatedly fixed.  If only I read more reviews of long-term owners.  Never another VW again.  They are nice when on the dealer lot, but in reality too much trouble.",2.875,"Not worth it in the long run A car is supposed to be a reliable transportartion and reliable it is not.  Too many trips to the service department, too many recalls, too many service lights coming on worrying me about even more problems.  I see likewise frustrated people at the service counter everytime I come in. I'm charged an arm and a leg every time, without a guarantee that the fix will work.  A 10 year old KIA has had no problems.  I got too excited about aesthetics of it.  But the features don't work and have to be repeatedly fixed.  If only I read more reviews of long-term owners.  Never another VW again.  They are nice when on the dealer lot, but in reality too much trouble.","[('term owners', 'owners'), ('dealer lot', 'lot')]","['long term', 'much trouble', 'more reviews', 'too much trouble', 'only read']","[['car', 'sport'], ['nt'], ['nt', 'like', 'come', 'people'], ['nt', 'work'], ['year'], ['work']]","[('service department', 'department'), ('service lights', 'lights'), ('service counter', 'counter')]","['long run', 'many trips', 'many service lights', 'even more problems', 'everytime come', 'repeatedly fixed', 'reliable transportartion', 'Too many trips', 'too many service lights', 'more problems', 'likewise frustrated', 'too many recalls', 'many recalls']",neg
 on 03/19/14 21:27 PM (PDT),azuki ,2003 Volkswagen New Beetle Convertible GL 2dr Convertible (2.0L 4cyl 6A),My Horror Story," This was my first car at the age of 18. When I got my Beetle, it had about 72,000 miles on it, and not even 4 months after receiving it, the problems began. Immediately, my transmission died completely. My warranty company gave me a $4,000 check and voided my warranty after seeing the $12,000 repair bill. Then, the battery died. Twice. As did the alternator and air conditioning. My rear window also got stuck and that would have cost me 4 hours of labor fees just to get to the broken bits. It's not like I drove it a lot - over a course of 3 years I didn't even drive 10,000 miles. For the love of god, stay away from this car. It is one problem after another, literally every 3-5 months.Update:It has been two years since I got my new car. I have named it ""Not Beetle,"" and have had zero problems with it. Turns out the secret of German engineering is to buy a Korean car instead.",2.0,"My Horror Story This was my first car at the age of 18. When I got my Beetle, it had about 72,000 miles on it, and not even 4 months after receiving it, the problems began. Immediately, my transmission died completely. My warranty company gave me a $4,000 check and voided my warranty after seeing the $12,000 repair bill. Then, the battery died. Twice. As did the alternator and air conditioning. My rear window also got stuck and that would have cost me 4 hours of labor fees just to get to the broken bits. It's not like I drove it a lot - over a course of 3 years I didn't even drive 10,000 miles. For the love of god, stay away from this car. It is one problem after another, literally every 3-5 months.Update:It has been two years since I got my new car. I have named it ""Not Beetle,"" and have had zero problems with it. Turns out the secret of German engineering is to buy a Korean car instead.","[('air conditioning', 'conditioning'), ('labor fees', 'fees')]","['broken bits', 'Immediately died', 'died completely', 'Then died', 'rear window']","[['car'], ['nt', 'miles'], ['nt'], ['drive', 'like', 'miles', 'year'], ['car', 'love'], ['nt', 'one'], ['year', 'car', 'new'], ['car']]","[('warranty company', 'company'), ('repair bill', 'bill')]","['Korean car', 'Turns instead', 'first car', 'new car', 'even drive', 'stay away', 'German engineering']",neg
 on 05/25/06 18:59 PM (PDT),Ally ,2003 Volkswagen New Beetle Convertible GLS 2dr Convertible (1.8L 4cyl Turbo 5M),A nice Bug," The pros: Fun with top down, people love to look at it, reliable, zippy power, vinyl no dead cows to sit on, windsheild is not in your face, lots of head room. Some things that disapoint me: The stupidly short sun visor that doesnt even cover 1/4 of the window to block the sun from the side. I had to get one of those kids sun shades that suctions to the giant side window. The seats are not made for long rides or if you have any kind of back trouble. The pedals are high so if you are tall, its hard to get comfortable. I still have trouble adjusting to the seat, doesn't go back far enough. The back seat is for kids only, it has no comfort.  I like the car overall but the comfort is poor. Not it is not for old people.",4.625,"A nice Bug The pros: Fun with top down, people love to look at it, reliable, zippy power, vinyl no dead cows to sit on, windsheild is not in your face, lots of head room. Some things that disapoint me: The stupidly short sun visor that doesnt even cover 1/4 of the window to block the sun from the side. I had to get one of those kids sun shades that suctions to the giant side window. The seats are not made for long rides or if you have any kind of back trouble. The pedals are high so if you are tall, its hard to get comfortable. I still have trouble adjusting to the seat, doesn't go back far enough. The back seat is for kids only, it has no comfort.  I like the car overall but the comfort is poor. Not it is not for old people.",[],"['back trouble', 'long rides', 'still have', 'go enough', 'back seat', 'go back']","[['people', 'love'], ['nt'], ['nt', 'one'], ['like', 'car'], ['people']]","[('vinyl cows', 'cows'), ('head room', 'room'), ('sun visor', 'visor'), ('kids sun', 'sun'), ('side window', 'window')]","['giant side window', 'like overall', 'reliable power', 'dead vinyl cows', 'zippy power', 'short kids sun visor', 'nice Bug', 'stupidly short kids sun visor', 'old people', 'even cover']",neg
